Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,AVG,OBP,SLG,OPS,wOBA,wRC+,WAR,ADP,InterSD,InterSK,IntraSD,playerid
Tyler Nevin,BAL,19,70,63,15,3,0,2,7,7,6,16,1,0,0,0.234,0.304,0.382,0.686,0.3,87,0.1,999,4.46,2.29,1.76,17893
Sam Huff,TEX,7,27,25,5,1,0,1,3,3,2,10,0,0,0,0.215,0.262,0.399,0.661,0.282,78,0.1,587.5,3.46,2.88,1.9,22209
Nick Maton,PHI,18,65,58,13,3,0,1,7,6,6,18,1,1,0,0.219,0.299,0.343,0.643,0.284,74,0.1,999,2.77,0.85,1.78,21635
Nomar Mazara,,75,292,266,64,13,1,9,31,34,22,72,3,1,1,0.241,0.304,0.398,0.701,0.302,89,0.1,600.1,2.27,-1.23,0.88,14553
Tony Wolters,LAD,12,41,36,8,1,0,0,4,3,4,11,1,0,0,0.211,0.293,0.292,0.585,0.261,62,0.1,999,2.11,2.81,1.87,11470
Alejo Lopez,CIN,9,28,26,7,1,0,0,4,3,2,4,0,0,0,0.272,0.329,0.36,0.689,0.303,83,0,999,4.05,2.84,1.96,21127
Jurickson Profar,SDP,121,449,394,93,19,2,10,52,45,44,68,7,9,3,0.235,0.321,0.37,0.691,0.304,90,0,501.5,1.45,-0.45,0.78,10815
Brendon Davis,LAA,5,22,20,5,1,0,1,3,3,2,6,0,0,0,0.235,0.297,0.392,0.689,0.298,87,0,999,5.5,2.2,1.94,sa875089
José Devers,MIA,23,61,55,14,3,0,1,7,5,4,12,1,1,0,0.251,0.305,0.344,0.65,0.284,80,0,999,3.33,0.61,1.85,20540
Daniel Johnson,CLE,17,60,55,13,2,0,2,7,6,4,19,1,1,0,0.228,0.292,0.396,0.688,0.298,87,0,999,2.68,0.1,1.8,19643
Luke Maile,MIL,19,64,57,12,2,0,1,6,5,6,21,1,0,0,0.204,0.282,0.292,0.574,0.258,58,0,999,1.38,-0.3,1.76,13355
Max Moroff,,9,31,27,6,1,0,1,4,4,3,12,0,0,0,0.213,0.305,0.379,0.684,0.301,88,0,999,10.9,0.09,1.88,14556
Franchy Cordero,BOS,24,86,77,19,5,0,2,11,9,7,27,1,1,0,0.243,0.309,0.394,0.703,0.305,88,0,999,4.18,1.91,1.71,14567
Ronald Torreyes,PHI,51,183,171,42,7,1,3,17,17,9,23,2,1,1,0.244,0.287,0.343,0.631,0.276,69,0,600.7,1.69,1.36,1.43,11400
Colin Moran,,104,405,364,91,16,1,13,44,52,35,98,3,1,0,0.25,0.319,0.408,0.727,0.315,97,0,579.4,6.68,-0.44,0.53,16909
Sheldon Neuse,LAD,11,31,29,7,1,0,1,4,3,2,10,0,0,0,0.233,0.282,0.378,0.659,0.285,78,0,999,5.31,3.27,1.91,19635
Khalil Lee,NYM,21,70,60,13,3,0,2,9,6,8,26,2,2,1,0.214,0.32,0.346,0.666,0.298,87,0,596.7,3.68,0.79,1.76,19952
Mario Feliciano,MIL,5,20,19,5,0,0,0,2,2,1,6,0,0,0,0.247,0.299,0.334,0.633,0.279,71,0,999,3.22,2.65,1.97,20263
Juan Lagares,,53,181,168,41,9,1,4,20,18,9,43,1,1,1,0.246,0.289,0.375,0.665,0.287,80,0,999,2.34,-0.13,1.4,5384
Greg Deichmann,CHC,10,30,26,6,1,0,1,3,3,3,9,0,0,0,0.214,0.298,0.338,0.636,0.282,76,0,999,3.46,1.71,1.91,19872
Andy Burns,LAD,22,32,29,6,1,0,1,4,3,3,8,0,0,0,0.212,0.293,0.357,0.65,0.286,78,0,999,3.05,2.19,1.89,12779
Eli White,TEX,33,127,114,25,5,1,3,14,11,10,37,2,2,1,0.218,0.291,0.35,0.641,0.282,78,0,999,4.09,1.68,1.55,19346
Nelson Velazquez,CHC,10,39,36,9,2,0,2,4,5,2,12,0,1,0,0.238,0.286,0.416,0.702,0.299,87,0,600.7,4.99,3.19,1.89,sa3005129
José Godoy,SEA,9,25,24,5,1,0,0,2,2,1,6,0,0,0,0.219,0.268,0.317,0.585,0.257,65,0,999,2.72,3.94,1.93,15808
Jake Lamb,,54,198,172,37,8,1,7,23,23,22,55,3,0,0,0.215,0.311,0.386,0.697,0.299,85,0,999,2.02,-0.19,1.07,13329
Ryan O'Hearn,KCR,28,105,94,22,5,0,4,11,13,9,27,0,0,0,0.229,0.297,0.422,0.719,0.308,93,0,599.8,5.08,0.82,1.57,16442
Stuart Fairchild,ARI,7,21,19,4,1,0,1,2,2,2,5,0,0,0,0.241,0.313,0.385,0.697,0.305,87,0,999,2.96,2.01,1.96,20321
Micker Adolfo,CHW,12,49,44,10,2,0,2,6,6,3,17,1,0,0,0.224,0.288,0.415,0.703,0.302,89,0,999,3.27,2.19,1.8,sa830303
Daniel Robertson,,21,66,58,13,3,0,1,7,6,7,17,1,0,0,0.226,0.314,0.314,0.628,0.281,72,0,999,3.91,-0.2,1.76,14145
Jeter Downs,BOS,7,26,24,6,2,0,1,3,2,2,7,0,0,0,0.231,0.292,0.367,0.659,0.286,75,0,598.2,4.58,1.85,1.93,sa3004615
Omar Estévez,LAD,7,29,27,6,1,0,1,3,3,2,8,0,0,0,0.227,0.286,0.364,0.649,0.282,76,0,999,2.79,0.38,1.91,sa914242
Heliot Ramos,SFG,37,151,139,33,7,1,4,17,15,10,44,2,3,1,0.239,0.296,0.379,0.675,0.293,83,0,999,4.13,0.19,1.54,sa3004693
Sebastian Rivero,KCR,8,28,26,6,2,0,0,3,3,2,8,0,0,0,0.217,0.27,0.32,0.59,0.259,60,0,999,2.57,0.37,1.92,21735
Jonathan Davis,MIL,10,30,26,5,1,0,1,3,2,2,8,1,1,0,0.212,0.299,0.345,0.644,0.285,75,0,999,3.18,1.18,1.93,15104
Clay Dungan,KCR,5,21,19,5,1,0,0,2,2,1,3,0,1,0,0.252,0.298,0.327,0.625,0.275,71,0,999,5.17,3.72,1.98,sa1169803
Lucius Fox,WSN,13,51,45,10,2,0,1,6,4,5,13,1,2,1,0.222,0.307,0.319,0.626,0.28,72,0,999,2.95,1.94,1.89,sa914200
Delino DeShields,,20,60,51,12,2,0,1,7,4,7,16,0,2,1,0.226,0.32,0.324,0.644,0.288,73,0,999,3.75,3.45,1.88,11379
Jonathan Aranda,TBR,9,34,30,8,1,0,1,4,4,3,7,0,0,0,0.249,0.316,0.383,0.698,0.305,91,0,999,2.52,3.26,1.92,sa919293
Roman Quinn,,38,125,113,25,5,1,2,15,9,9,38,2,8,2,0.222,0.294,0.34,0.634,0.28,72,0,999,1.86,0.01,1.81,13546
Ender Inciarte,NYY,11,34,30,7,1,0,1,4,3,3,7,0,1,0,0.223,0.291,0.334,0.625,0.275,71,0,600,2.73,0.63,1.91,4922
Rio Ruiz,,17,49,44,10,2,0,1,5,5,3,11,0,0,0,0.233,0.289,0.382,0.671,0.29,66,0,999,3.59,1.7,1.84,14103
Lewis Brinson,MIA,57,215,199,45,9,1,6,23,23,12,57,3,2,1,0.228,0.279,0.38,0.658,0.285,80,0,600,2.88,0.15,1.18,14352
Jose Rojas,LAA,22,89,81,19,4,0,3,10,10,7,22,0,1,0,0.233,0.292,0.398,0.69,0.298,87,0,600.4,5.95,1.44,1.67,19331
Drew Waters,ATL,41,163,148,35,8,1,3,19,15,12,53,2,6,2,0.237,0.301,0.37,0.671,0.293,79,0,600.4,4.78,0.44,1.6,sa3004378
Ehire Adrianza,,59,180,160,39,8,1,3,21,17,16,36,2,1,0,0.244,0.317,0.365,0.683,0.3,84,0,999,1.7,0.13,1.37,8418
Ildemaro Vargas,,12,33,31,8,2,0,1,3,3,1,5,0,0,0,0.24,0.273,0.349,0.622,0.268,63,0,999,3.6,2.2,1.92,13324
Aramis Garcia,CIN,15,51,47,10,2,0,1,5,5,3,15,1,0,0,0.215,0.271,0.328,0.599,0.264,58,0,999,3.8,1.61,1.8,16925
Raimel Tapia,COL,126,519,477,134,27,4,6,66,46,35,83,2,18,5,0.28,0.329,0.391,0.721,0.313,81,0,262.9,3.63,0.29,1.58,14350
Sandy León,CLE,55,190,173,34,6,0,4,16,17,13,52,2,0,0,0.196,0.259,0.305,0.564,0.249,54,0,999,2.2,-0.19,1.16,5273
Evan White,SEA,52,205,188,41,7,0,7,22,24,14,62,2,1,1,0.22,0.28,0.381,0.661,0.286,84,0,600.2,3.02,-0.39,1.1,20078
Travis Demeritte,ATL,12,48,43,10,2,0,2,6,6,4,16,0,1,0,0.222,0.3,0.405,0.705,0.305,87,0,999,4.74,2.22,1.82,15958
José Rondón,,18,53,48,11,2,0,2,6,6,4,12,0,1,0,0.23,0.283,0.393,0.676,0.291,81,0,999,2.91,-0.07,1.83,14140
Eric Sogard,,42,139,127,30,6,1,2,14,12,10,23,1,2,1,0.24,0.297,0.333,0.631,0.276,72,0,999,1.65,-0.09,1.61,7927
Chad Wallach,LAA,11,39,35,7,1,0,1,4,4,3,13,0,0,0,0.191,0.268,0.318,0.586,0.259,61,0,999,2.12,2.05,1.84,17161
Jose Lobaton,,8,28,26,5,1,0,1,3,3,3,9,0,0,0,0.199,0.275,0.328,0.603,0.259,61,0,999,1.34,1.27,1.9,4243
John Nogowski,ATL,41,149,132,32,6,0,3,16,15,14,24,2,1,0,0.243,0.324,0.356,0.68,0.301,88,0,600.8,2.76,0.2,1.5,16852
Jaylin Davis,SFG,17,59,53,12,2,0,2,7,6,5,17,1,1,0,0.223,0.292,0.383,0.675,0.294,84,0,999,3.85,2.44,1.78,19552
Nick Martini,,8,21,18,4,1,0,0,2,2,2,5,0,0,0,0.241,0.325,0.347,0.672,0.297,86,0,999,3.2,2.68,1.96,12005
Will Benson,CLE,6,23,20,4,1,0,1,3,3,3,8,0,1,0,0.2,0.292,0.364,0.656,0.287,80,0,999,3.82,2.63,1.93,sa917927
DJ Peters,,15,54,49,10,2,0,3,8,9,3,19,1,0,0,0.21,0.268,0.426,0.694,0.294,86,0,600.5,3.08,2.28,1.71,19348
Buddy Reed,OAK,5,20,18,4,1,0,0,2,2,2,7,0,1,0,0.198,0.261,0.312,0.574,0.252,61,0,999,2.76,0.81,1.96,sa738683
Aaron Altherr,,26,105,93,20,4,0,3,12,11,10,29,2,2,1,0.22,0.304,0.38,0.684,0.298,87,0,999,1.16,1.08,1.59,11270
Rodolfo Castro,PIT,18,66,61,14,3,0,2,7,8,4,17,1,1,0,0.229,0.28,0.39,0.67,0.288,79,0,999,3.55,2.61,1.75,21987
Dillon Thomas,LAA,17,51,47,9,2,0,1,5,4,4,22,1,1,0,0.198,0.271,0.327,0.598,0.265,70,0,999,4.1,3.5,1.8,12719
JJ Bleday,MIA,6,24,21,5,1,0,1,3,2,2,6,0,0,0,0.215,0.294,0.355,0.649,0.285,80,0,599.5,3.34,2.75,1.93,sa3011642
Willians Astudillo,,12,37,35,9,2,0,1,4,4,1,2,1,0,0,0.252,0.281,0.388,0.669,0.287,80,0,600.9,3.65,0.92,1.91,15608
Webster Rivas,SDP,10,32,29,6,1,0,0,3,3,2,8,0,0,0,0.213,0.272,0.289,0.561,0.249,54,0,999,1.84,1.24,1.9,14636
Andrew Knapp,CIN,51,169,147,31,6,1,4,17,15,18,53,2,0,0,0.208,0.3,0.333,0.633,0.28,68,0,600.9,1.87,-0.44,1.27,14942
Josh Ockimey,,6,26,22,5,1,0,1,3,3,3,9,0,0,0,0.211,0.311,0.379,0.69,0.302,86,0,999,3.18,2.51,1.91,sa829375
Luis Barrera,OAK,55,168,155,36,7,2,2,18,13,11,37,1,2,1,0.234,0.289,0.336,0.625,0.274,75,0,999,4.4,1.58,1.49,19615
Max Schrock,CIN,49,171,158,40,8,1,4,20,18,11,32,1,2,1,0.254,0.305,0.382,0.687,0.298,80,0,600.7,4.4,1.22,1.47,17750
Monte Harrison,MIA,53,158,141,29,5,1,5,17,16,11,63,2,6,2,0.204,0.272,0.352,0.624,0.273,73,0,999,3,1.68,1.52,17216
Hunter Owen,PIT,14,30,27,6,1,0,1,3,3,2,13,1,0,0,0.203,0.266,0.355,0.621,0.27,68,0,999,3.25,2.42,1.89,20034
Jack López,,14,35,32,7,1,0,1,3,3,2,10,0,1,0,0.227,0.275,0.326,0.601,0.264,60,0,999,2.68,3.17,1.92,13663
Josh Palacios,TOR,14,56,48,11,2,0,1,6,5,5,14,1,1,0,0.233,0.307,0.345,0.651,0.287,76,0,999,2.6,1.07,1.84,19818
Jake Cave,MIN,32,108,98,23,5,0,3,12,11,7,35,2,0,0,0.234,0.299,0.368,0.666,0.292,83,0,999,4.39,0.33,1.6,14477
Darick Hall,PHI,6,26,23,5,1,0,1,3,3,2,7,1,0,0,0.213,0.295,0.394,0.689,0.298,83,0,999,3.61,2.97,1.91,sa918293
Taylor Davis,,9,29,26,6,1,0,0,3,2,3,4,0,0,0,0.223,0.294,0.288,0.582,0.261,62,0,999,1.58,2.56,1.93,12782
Isan Díaz,MIA,33,121,107,23,5,0,3,13,12,12,33,1,1,0,0.218,0.302,0.349,0.651,0.287,81,0,600.5,2.63,0.87,1.51,17922
Steven Souza Jr.,,28,98,87,18,4,0,3,11,10,9,34,1,1,0,0.211,0.297,0.377,0.674,0.294,83,0,999,2.47,-0.8,1.57,5667
Nick Plummer,NYM,6,21,18,4,1,0,0,2,2,2,7,0,0,0,0.2,0.302,0.327,0.629,0.282,76,0,999,4.36,1.35,1.94,sa874684
Justin Smoak,,23,95,82,18,3,0,4,11,12,12,24,1,0,0,0.215,0.318,0.401,0.719,0.313,93,0,999,1.61,0.14,1.57,9054
Gerardo Parra,,9,22,20,5,1,0,0,2,2,2,5,0,0,0,0.23,0.291,0.331,0.622,0.27,65,0,999,2.41,1.08,1.96,8553
Rusney Castillo,,6,24,23,6,1,0,0,3,2,1,5,0,0,0,0.245,0.291,0.343,0.634,0.277,69,0,999,1.43,-0.15,1.96,17016
Logan Warmoth,TOR,6,23,20,4,1,0,1,2,2,2,8,0,1,0,0.198,0.28,0.316,0.596,0.266,62,0,999,2.4,0.68,1.94,sa3004813
Corey Ray,MIL,9,29,26,5,1,0,1,3,3,2,10,0,0,0,0.207,0.271,0.347,0.618,0.27,65,0,999,2.58,0.06,1.91,19170
Mason Martin,PIT,52,208,187,41,9,1,9,24,27,16,70,3,1,1,0.219,0.289,0.419,0.707,0.303,89,0,591.7,3.81,0.1,1.03,sa3004885
Pat Valaika,,39,125,117,26,5,0,4,12,13,7,33,1,1,0,0.22,0.265,0.359,0.624,0.27,67,0,999,2.71,1.12,1.51,14885
Austin Dean,SFG,11,35,32,8,2,0,1,4,4,3,9,0,0,0,0.243,0.303,0.366,0.669,0.291,81,0,999,5.69,1.45,1.9,18288
Maikel Franco,WSN,32,127,117,27,6,0,4,12,15,8,21,1,0,0,0.234,0.282,0.4,0.682,0.291,78,0,598.8,2.52,2.47,1.51,12179
Cody Thomas,OAK,30,119,108,22,5,1,4,12,13,9,40,1,1,0,0.205,0.271,0.377,0.649,0.28,80,-0.1,999,2.53,0.73,1.46,sa738459
Khris Davis,,55,209,187,42,7,1,9,23,27,18,57,2,0,0,0.224,0.297,0.412,0.708,0.304,95,-0.1,999,2.69,-0.55,1.05,9112
Pete Kozma,,12,35,33,6,1,0,0,3,2,2,9,0,0,0,0.192,0.245,0.251,0.496,0.214,35,-0.1,999,1.78,-0.12,1.88,2539
Richie Martin,BAL,24,86,78,17,3,1,2,8,7,5,21,1,2,0,0.218,0.278,0.328,0.607,0.267,65,-0.1,999,2.67,-0.46,1.75,17736
Trayce Thompson,,10,26,24,5,1,0,1,3,3,2,10,0,1,0,0.189,0.265,0.358,0.624,0.272,69,-0.1,999,3.39,2.7,1.91,9952
Shogo Akiyama,CIN,56,198,177,44,9,1,2,22,16,18,41,2,3,2,0.248,0.323,0.346,0.67,0.297,79,-0.1,600.8,3.11,1.19,1.47,27461
Stephen Piscotty,OAK,112,430,392,89,18,1,14,43,47,31,107,4,4,1,0.228,0.291,0.381,0.672,0.291,86,-0.1,597.3,5,-0.79,0.52,13367
Asdrúbal Cabrera,CIN,62,238,211,50,11,1,7,27,28,22,53,2,1,0,0.235,0.308,0.393,0.701,0.303,83,-0.1,599.6,2.56,1.01,1.02,4962
Travis Jankowski,,43,129,114,28,5,1,1,15,8,13,28,1,4,1,0.245,0.325,0.316,0.641,0.287,76,-0.1,999,2.03,0.18,1.76,13768
Seby Zavala,CHW,31,113,102,18,4,0,4,12,12,8,49,1,0,0,0.182,0.248,0.337,0.585,0.256,58,-0.1,598.5,2.71,0.51,1.41,18887
Trent Giambrone,CHC,6,24,22,4,1,0,0,2,2,2,7,0,0,0,0.194,0.256,0.265,0.522,0.234,44,-0.1,999,3.99,0.94,1.93,19250
Albert Almora Jr.,,25,44,41,9,2,0,1,4,4,2,8,0,0,0,0.231,0.278,0.355,0.632,0.273,70,-0.1,999,2.38,-0.38,1.87,14109
Magneuris Sierra,,18,58,53,12,2,0,0,6,4,3,12,0,3,0,0.234,0.277,0.299,0.576,0.253,59,-0.1,999,4.22,0.97,1.91,17023
Anthony Alford,PIT,102,379,341,77,15,2,12,44,40,33,132,5,13,5,0.225,0.303,0.386,0.689,0.3,87,-0.1,528,4.04,2.19,1.17,14329
Yusniel Diaz,BAL,7,29,27,6,1,0,1,3,3,2,9,0,0,0,0.208,0.267,0.329,0.596,0.261,61,-0.1,999,2.44,0.34,1.9,sa912848
Jake Bauers,CIN,22,75,66,15,3,0,2,8,7,8,19,1,1,0,0.227,0.314,0.363,0.677,0.299,80,-0.1,600.8,4.68,1.12,1.75,15194
Matt Joyce,PHI,38,115,98,22,5,0,3,13,12,15,28,1,0,0,0.227,0.332,0.371,0.703,0.309,91,-0.1,999,1.73,-0.5,1.54,3353
Donovan Casey,WSN,9,36,34,7,2,0,1,4,4,2,12,0,1,0,0.22,0.265,0.356,0.621,0.269,64,-0.1,999,4.26,2.44,1.9,sa915654
Drew Butera,,15,48,43,8,2,0,1,4,3,3,16,1,0,0,0.179,0.242,0.284,0.526,0.232,43,-0.1,999,1.17,0.12,1.8,3411
Jordy Mercer,,35,123,114,27,6,0,3,12,12,8,27,1,0,0,0.238,0.294,0.361,0.655,0.279,71,-0.1,999,1.79,0.32,1.58,6547
Billy Hamilton,,36,115,103,22,4,1,1,13,7,8,31,0,7,2,0.21,0.267,0.287,0.554,0.246,52,-0.1,999,2.09,0.68,1.82,10199
Chris Owings,,17,59,54,12,2,0,2,7,6,4,18,0,2,0,0.218,0.282,0.364,0.646,0.275,57,-0.1,600.7,1.93,2.86,1.81,10030
Harold Castro,DET,55,206,193,51,8,1,2,20,19,9,43,1,1,1,0.261,0.293,0.347,0.641,0.279,74,-0.1,601,3.21,0.36,1.48,14691
Eric Thames,OAK,44,181,160,35,7,1,7,20,20,18,56,3,2,1,0.216,0.304,0.408,0.712,0.306,88,-0.1,595.4,2.9,0.75,1.22,3711
Andrew Young,WSN,33,81,74,15,2,0,2,10,10,4,31,2,0,0,0.201,0.267,0.337,0.605,0.266,62,-0.1,999,4.53,0.02,1.58,19521
Trey Amburgey,CIN,29,79,73,16,4,0,2,8,9,5,27,1,0,0,0.223,0.274,0.366,0.64,0.277,66,-0.1,999,4.02,3.51,1.68,18425
Scott Kingery,PHI,45,147,135,29,6,1,4,15,14,10,48,1,2,1,0.218,0.279,0.369,0.648,0.281,73,-0.1,600.3,3.05,0.76,1.45,17975
Yadiel Hernandez,WSN,113,408,367,94,15,1,14,48,49,33,95,2,4,1,0.257,0.316,0.417,0.733,0.314,94,-0.1,568.5,3.23,-0.43,0.58,19334
Jared Oliva,PIT,27,92,84,19,4,1,1,9,8,6,25,1,3,1,0.231,0.289,0.338,0.627,0.275,71,-0.1,999,2.28,1.86,1.79,19968
Matt Carpenter,,60,199,168,34,8,1,6,22,21,27,58,3,1,0,0.205,0.323,0.365,0.689,0.303,90,-0.2,999,3.07,-1.02,1.1,8090
Jorge Alfaro,SDP,97,364,337,81,14,1,10,35,41,18,116,7,6,2,0.24,0.293,0.375,0.668,0.291,81,-0.2,398.2,1.51,-0.34,0.88,12180
Luke Williams,PHI,56,181,165,38,7,1,3,19,16,14,43,2,5,2,0.228,0.292,0.334,0.626,0.277,69,-0.2,999,2.49,-0.31,1.49,19931
Michael Chavis,PIT,112,429,396,95,18,2,15,50,51,23,129,6,4,2,0.24,0.291,0.411,0.702,0.301,88,-0.2,542.8,3.21,-0.08,0.36,17321
Wilmer Difo,,40,128,115,27,4,1,2,14,11,10,28,1,1,0,0.238,0.298,0.339,0.637,0.272,69,-0.2,999,2.23,-0.1,1.59,14320
David Dahl,MIL,34,135,124,30,7,1,4,15,15,8,34,1,1,0,0.245,0.293,0.399,0.692,0.297,83,-0.2,598.7,3.04,0.7,1.54,13744
Andrew Stevenson,WSN,84,278,254,64,12,2,6,33,29,19,75,3,4,1,0.25,0.309,0.375,0.684,0.298,83,-0.2,597.8,4.68,1.13,1.11,17932
Jarrod Dyson,,66,188,170,37,6,1,2,21,13,15,40,1,12,3,0.216,0.282,0.296,0.578,0.257,56,-0.2,999,1.55,-0.26,1.81,4866
Josh Reddick,,46,159,146,36,7,1,3,17,17,11,29,0,0,0,0.244,0.296,0.366,0.662,0.287,76,-0.2,999,1.34,-0.37,1.45,3892
Dexter Fowler,,75,281,246,54,10,1,7,32,28,32,74,3,6,1,0.218,0.315,0.359,0.674,0.293,84,-0.3,999,4.28,-1.53,1.05,4062
Guillermo Heredia,ATL,66,232,206,47,11,0,4,27,20,19,54,5,1,1,0.228,0.309,0.349,0.659,0.29,77,-0.3,999,3.42,0.45,1.08,18721
Ian Desmond,COL,27,106,96,22,4,1,3,13,12,8,28,1,2,1,0.229,0.292,0.385,0.677,0.294,69,-0.3,999,4.55,2.28,1.6,6885
Adam Haseley,PHI,90,327,297,71,13,1,6,32,29,20,69,4,5,2,0.239,0.295,0.351,0.646,0.283,74,-0.3,600.9,7.08,-1.01,1.03,19878
Albert Pujols,,45,163,152,36,6,0,7,16,22,8,26,2,1,0,0.235,0.278,0.413,0.69,0.291,82,-0.3,599.1,1.95,0.94,1.35,1177
Ryan Vilade,COL,55,189,175,46,9,1,3,22,17,12,35,1,3,1,0.261,0.312,0.38,0.692,0.301,74,-0.4,600.5,3.58,0.76,1.52,22165
Miguel Cabrera,DET,111,463,417,105,16,1,13,45,57,37,103,4,0,0,0.252,0.315,0.391,0.706,0.303,91,-0.4,502.4,3.31,-0.68,0.51,1744
