"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","BsR","Fld","-1","Off","Def","WAR","playerid"
"Eugenio Suárez","SEA","121","494","434","94","18","1","24","56","70","51","144","6","1","1","",".216",".306",".425",".731",".315","","-0.7","-1.8","","1.5","-3.7","1.5","12552"
"Starling Marte","NYM","108","467","425","115","21","2","11","65","52","26","84","13","25","7","",".269",".328",".410",".739",".320","","2.1","-1.5","","5.3","-6.3","1.4","9241"
"J.D. Martinez","BOS","113","490","438","120","29","2","21","64","73","45","114","4","1","0","",".275",".344",".489",".833",".352","","-0.1","-1.7","","11.5","-13.9","1.4","6184"
"Kevin Kiermaier","TBR","101","349","318","73","15","5","6","43","35","25","87","4","8","4","",".229",".293",".372",".665",".288","","0.4","6.7","","-5.7","8.0","1.4","11038"
"Lorenzo Cain","MIL","90","363","326","84","16","0","7","44","28","31","62","4","11","4","",".259",".328",".370",".697",".307","","0.3","5.4","","-4.6","6.7","1.4","9077"
"Jonathan Schoop","DET","129","526","492","124","22","2","18","63","60","23","105","7","2","0","",".252",".294",".411",".705",".303","","0.5","0.0","","-5.6","1.9","1.4","11265"
"Kris Bryant","COL","114","490","429","121","28","2","21","74","65","47","103","11","6","2","",".283",".365",".500",".865",".368","","0.2","-6.9","","11.2","-13.4","1.4","15429"
"Chas McCormick","HOU","95","338","303","74","11","2","10","42","39","30","86","3","6","3","",".246",".317",".399",".717",".312","","-0.9","4.2","","-1.1","3.6","1.4","19599"
"Luis Arraez","MIN","120","476","430","131","21","3","4","58","37","42","42","1","2","3","",".304",".365",".392",".757",".331","","-1.5","-2.7","","4.3","-6.6","1.4","18568"
"Jesse Winker","SEA","104","410","352","90","18","1","13","51","45","49","68","6","1","1","",".256",".356",".423",".779",".340","","-1.0","-4.1","","9.2","-9.4","1.4","13590"
"Victor Robles","WSN","116","437","381","90","22","2","8","50","37","31","106","16","14","5","",".237",".318",".366",".684",".300","","0.8","5.5","","-7.8","7.0","1.4","18363"
"Luis Torrens","SEA","98","367","336","79","16","2","11","37","45","26","94","2","0","1","",".234",".291",".392",".682",".294","","-0.5","-0.5","","-5.2","6.3","1.4","15905"
"Trey Mancini","BAL","125","527","476","129","27","2","21","66","70","41","115","6","0","0","",".271",".335",".468",".803",".342","","-0.4","-3.0","","9.6","-14.0","1.4","15149"
"Eloy Jiménez","CHW","92","382","355","97","17","1","21","44","65","22","93","2","0","0","",".273",".316",".500",".816",".345","","-0.2","-3.9","","9.2","-8.7","1.3","17484"
"Alec Bohm","PHI","112","442","398","106","18","2","13","52","54","36","101","3","5","2","",".265",".327",".411",".738",".319","","0.5","-0.8","","-1.1","-0.2","1.3","21618"
"Daulton Varsho","ARI","98","375","335","84","16","2","14","48","43","33","85","4","9","2","",".250",".321",".438",".759",".325","","1.0","-2.0","","1.1","-0.2","1.3","19918"
"Hunter Renfroe","MIL","118","447","406","93","19","0","26","61","67","36","120","2","2","1","",".229",".293",".470",".763",".323","","-0.4","4.4","","-0.5","-1.0","1.3","15464"
"Johan Camargo","PHI","103","367","334","87","17","1","13","44","44","28","73","2","0","1","",".259",".319",".434",".753",".323","","-0.3","0.1","","-0.6","1.5","1.3","14950"
"Anthony Santander","BAL","111","459","420","108","24","1","19","54","61","30","95","6","2","3","",".257",".313",".454",".767",".327","","-1.3","1.8","","1.6","-4.1","1.3","14551"
"Austin Allen","OAK","71","275","255","62","14","1","10","30","34","15","66","3","0","0","",".244",".292",".423",".714",".305","","-0.5","0.4","","-1.8","5.4","1.3","18083"
"Lourdes Gurriel Jr.","TOR","115","455","424","117","26","2","18","55","66","22","90","4","3","3","",".276",".317",".474",".791",".335","","-1.0","-0.3","","4.1","-6.8","1.3","19238"
"Mitch Garver","TEX","76","280","244","59","10","1","14","36","37","31","74","3","1","1","",".240",".330",".459",".789",".339","","-0.3","-3.3","","5.3","-2.1","1.3","15161"
"Randy Arozarena","TBR","122","489","434","109","26","3","15","68","53","39","131","13","17","8","",".251",".330",".428",".758",".327","","-2.5","-2.1","","5.0","-9.0","1.3","19290"
"Joc Pederson","SFG","118","393","351","85","16","2","19","52","56","32","93","7","2","3","",".243",".317",".461",".778",".332","","-1.4","0.4","","3.7","-4.1","1.3","11899"
"Edmundo Sosa","STL","101","348","317","78","12","3","7","39","29","14","74","13","4","3","",".247",".305",".369",".673",".294","","-0.2","3.6","","-6.3","7.4","1.3","17022"
"Mauricio Dubón","SFG","122","442","409","105","17","2","10","50","41","25","75","3","8","4","",".257",".302",".381",".683",".295","","-0.6","4.8","","-8.5","6.3","1.3","16530"
"Nick Madrigal","CHC","88","361","335","97","16","3","2","38","26","18","27","6","9","6","",".289",".333",".374",".707",".310","","-1.5","4.5","","-5.4","5.7","1.2","20521"
"Kyle Isbel","KCR","97","390","354","87","18","3","9","51","38","27","89","5","13","3","",".246",".307",".394",".700",".303","","1.2","1.3","","-4.0","2.7","1.2","21614"
"Yuli Gurriel","HOU","112","460","420","117","25","1","11","56","56","34","56","3","2","2","",".279",".336",".418",".754",".325","","-1.0","0.5","","3.9","-7.6","1.2","19198"
"Jason Vosler","SFG","91","330","292","68","14","2","11","43","38","30","78","4","1","1","",".234",".311",".406",".717",".310","","-0.5","1.9","","-2.4","3.2","1.2","16686"
"Jason Heyward","CHC","101","364","324","78","13","3","9","43","36","35","72","3","5","1","",".242",".320",".385",".705",".307","","0.2","3.2","","-4.7","4.4","1.2","4940"
"Odúbel Herrera","PHI","96","371","342","89","19","2","11","43","44","22","64","4","5","1","",".261",".310",".425",".735",".316","","0.5","-0.2","","-1.9","1.2","1.2","11476"
"Brett Phillips","TBR","104","314","272","50","7","5","10","40","35","36","119","2","15","2","",".184",".282",".355",".637",".280","","1.8","8.1","","-5.5","6.5","1.2","14735"
"Tom Murphy","SEA","75","255","225","50","9","1","10","29","29","27","82","2","1","1","",".221",".308",".396",".703",".307","","-0.4","0.2","","-1.0","3.9","1.1","13499"
"Orlando Arcia","ATL","105","365","331","82","15","1","10","35","41","28","67","1","4","2","",".249",".308",".393",".701",".303","","-0.8","2.7","","-7.5","6.8","1.1","13185"
"Dylan Moore","SEA","95","293","257","55","11","2","10","34","33","28","79","7","15","6","",".214",".304",".387",".692",".303","","0.9","1.0","","-0.8","2.1","1.1","18042"
"Jorge Soler","MIA","123","502","435","97","21","0","26","59","64","59","138","6","1","1","",".222",".321",".447",".768",".330","","-0.5","-5.1","","5.7","-11.2","1.1","14221"
"Bryan De La Cruz","MIA","110","428","390","106","16","2","11","46","41","30","98","2","2","3","",".271",".325",".411",".737",".318","","-1.2","-1.6","","0.0","-3.0","1.1","19600"
"Jordan Luplow","ARI","73","238","206","48","11","1","10","31","32","28","62","2","3","3","",".232",".329",".442",".771",".333","","-0.7","1.4","","1.0","2.2","1.1","16424"
"Andrew Vaughn","CHW","104","420","372","92","21","0","17","48","47","37","90","9","1","2","",".248",".329",".440",".769",".333","","-0.7","-3.1","","5.4","-8.6","1.1","26197"
"Danny Mendick","CHW","102","356","317","74","13","1","8","38","33","33","77","3","5","4","",".234",".310",".357",".667",".294","","-1.0","2.1","","-7.1","6.1","1.1","18889"
"César Hernández","WSN","122","527","474","120","21","2","12","65","50","45","103","5","4","2","",".253",".322",".379",".701",".306","","-0.8","0.0","","-8.4","1.9","1.1","10556"
"AJ Pollock","CHW","90","336","308","78","16","1","15","41","55","21","69","5","5","1","",".254",".310",".454",".764",".324","","0.6","-0.7","","3.0","-3.5","1.1","9256"
"Rowdy Tellez","MIL","111","389","351","91","19","1","20","50","58","30","88","5","1","1","",".259",".326",".486",".812",".343","","-1.0","0.0","","5.1","-7.1","1.1","15679"
"Ryan Mountcastle","BAL","120","496","462","122","21","2","23","60","76","28","129","4","3","2","",".265",".309",".467",".776",".329","","-0.2","-0.2","","3.9","-9.9","1.1","18373"
"Victor Reyes","DET","114","386","364","102","19","5","8","49","36","17","81","2","11","4","",".281",".315",".427",".741",".318","","0.4","1.1","","0.8","-3.1","1.1","15487"
"Alejandro Kirk","TOR","78","265","234","59","13","0","8","27","28","26","35","2","0","0","",".252",".330",".412",".742",".322","","-0.6","-0.8","","-0.5","2.1","1.1","22581"
"Taylor Walls","TBR","91","364","319","70","16","2","6","40","31","39","98","2","14","7","",".220",".308",".339",".646",".287","","-0.8","3.7","","-7.3","5.5","1.1","22458"
"Tucker Barnhart","DET","97","323","289","68","14","1","5","27","28","28","79","3","0","1","",".235",".309",".336",".645",".285","","-0.8","2.4","","-9.4","8.9","1.1","10200"
"Chris Taylor","LAD","122","460","405","103","24","4","15","63","63","46","133","5","9","2","",".254",".333",".440",".773",".332","","0.3","-4.8","","5.8","-10.7","1.0","13757"
"Ryan Jeffers","MIN","90","335","301","64","12","1","13","35","38","28","107","5","0","1","",".214",".290",".389",".679",".295","","-0.7","1.4","","-6.6","5.5","1.0","24618"
"Ji-Man Choi","TBR","85","314","265","63","14","1","10","34","42","45","89","2","1","1","",".238",".351",".414",".765",".334","","-0.6","-1.3","","6.1","-6.5","1.0","5452"
"Tony Kemp","OAK","111","338","290","75","13","2","5","41","28","38","45","5","7","3","",".259",".353",".373",".726",".322","","0.1","-3.2","","3.2","-4.5","1.0","14894"
"Elehuris Montero","COL","95","388","349","92","15","2","16","52","49","28","86","4","0","0","",".263",".322",".453",".775",".332","","-0.3","-0.9","","-3.3","0.5","1.0","20543"
"Jake Fraley","CIN","84","315","272","65","14","2","13","40","48","35","87","4","11","4","",".239",".334",".444",".778",".335","","0.7","-0.8","","2.1","-2.5","1.0","19260"
"Carson Kelly","ARI","91","317","278","63","12","1","11","33","37","33","71","4","0","0","",".225",".313",".386",".699",".304","","-0.5","0.8","","-6.0","5.5","1.0","13620"
"Miguel Sanó","MIN","103","416","362","80","17","1","25","56","65","48","142","3","1","1","",".220",".314",".478",".793",".337","","-1.0","-2.3","","6.0","-10.1","1.0","12164"
"Jon Berti","MIA","75","263","226","55","10","1","5","38","21","30","60","4","11","4","",".245",".344",".366",".710",".316","","0.4","0.8","","0.7","0.6","1.0","12037"
"Travis d'Arnaud","ATL","67","259","237","60","12","0","9","30","37","18","64","3","0","0","",".255",".312",".415",".727",".314","","-0.4","-1.0","","-2.7","4.0","1.0","7739"
"Michael A. Taylor","KCR","119","400","365","83","16","2","10","43","37","28","110","2","10","5","",".228",".286",".359",".645",".281","","0.2","7.1","","-12.6","8.9","1.0","11489"
"Brad Miller","TEX","101","297","263","60","10","2","13","35","41","30","84","2","3","1","",".228",".309",".430",".739",".316","","0.2","0.9","","0.5","-0.8","1.0","12775"
"Bryson Stott","PHI","89","366","328","78","13","2","9","39","34","33","93","1","5","4","",".239",".309",".373",".682",".298","","-1.2","2.6","","-9.0","6.7","1.0","26294"
"Juan Yepez","STL","84","323","288","70","17","0","15","41","45","26","72","5","1","2","",".242",".313",".454",".767",".328","","-0.7","2.4","","2.6","-3.5","1.0","18400"
"Roberto Pérez","PIT","77","270","235","47","7","1","8","24","28","29","84","2","1","0","",".199",".289",".336",".625",".278","","-0.3","5.4","","-9.7","10.4","1.0","2900"
"Edward Olivares","KCR","100","397","364","96","17","2","11","46","39","24","77","6","12","5","",".264",".318",".414",".732",".316","","0.9","-0.4","","-0.2","-3.6","1.0","19698"
"William Contreras","ATL","79","291","262","66","9","1","12","34","37","24","79","4","0","0","",".250",".321",".430",".751",".324","","-0.2","-4.9","","-0.5","0.4","1.0","20503"
"Tyrone Taylor","MIL","89","296","270","64","14","3","10","33","39","19","68","5","5","1","",".236",".296",".419",".715",".307","","0.3","3.5","","-3.7","3.4","1.0","13675"
"Wilmer Flores","SFG","108","366","331","90","18","1","12","45","46","29","48","4","1","0","",".272",".335",".439",".773",".334","","0.1","-2.5","","5.3","-7.8","1.0","5827"
"Vidal Bruján","TBR","87","366","334","77","16","2","6","43","34","27","70","2","29","7","",".230",".289",".346",".635",".279","","2.4","2.4","","-6.7","3.8","1.0","20536"
"Austin Nola","SDP","84","309","275","69","14","1","7","34","35","24","51","7","1","1","",".251",".322",".380",".702",".308","","-0.2","-2.1","","-2.3","1.4","0.9","15941"
"Justin Turner","LAD","114","461","409","104","16","0","15","59","62","39","78","9","2","0","",".255",".332",".408",".739",".323","","-0.6","-2.2","","1.5","-7.5","0.9","5235"
"René Pinto","TBR","73","287","266","57","12","1","7","29","29","16","87","2","2","2","",".215",".264",".350",".613",".266","","-0.4","4.6","","-10.4","9.8","0.9","19859"
"José Iglesias","COL","117","435","409","120","25","2","6","51","45","16","53","6","5","3","",".294",".328",".408",".736",".318","","-1.3","-0.7","","-9.8","4.5","0.9","10231"
"David Peralta","ARI","108","423","385","102","22","4","10","41","51","33","81","2","2","1","",".264",".323",".417",".740",".317","","0.1","2.3","","-2.5","-2.4","0.9","2136"
"Andrew Knizner","STL","71","260","235","57","10","0","7","29","27","19","48","5","2","0","",".240",".308",".366",".674",".295","","0.2","1.0","","-4.2","4.6","0.9","19514"
"Franmil Reyes","CLE","116","450","408","101","15","1","27","54","76","38","148","2","2","1","",".248",".313",".490",".803",".340","","-0.7","-3.0","","7.8","-14.0","0.9","14566"
"Oscar Mercado","CLE","112","429","389","93","21","3","11","53","44","30","84","5","14","4","",".239",".299",".393",".692",".300","","0.9","3.2","","-5.1","-0.5","0.9","16375"
"Brendan Donovan","STL","92","375","337","82","15","1","7","50","35","27","73","7","7","3","",".243",".312",".353",".664",".293","","-0.3","2.4","","-7.3","3.8","0.9","24679"
"Abraham Toro","SEA","109","439","392","92","19","2","12","54","46","36","76","9","5","3","",".234",".311",".380",".691",".303","","-0.8","0.4","","-3.3","-2.8","0.9","19844"
"Cavan Biggio","TOR","94","373","316","69","14","2","12","46","39","51","105","3","7","2","",".218",".330",".387",".717",".315","","0.8","1.1","","-1.4","-2.5","0.9","19252"
"James McCann","NYM","94","344","314","73","13","1","9","30","38","22","94","5","2","1","",".232",".291",".361",".652",".284","","-0.3","-1.0","","-8.2","5.5","0.9","12859"
"Avisaíl García","MIA","110","437","401","99","18","1","16","48","53","25","109","9","7","3","",".246",".303",".414",".717",".307","","-0.6","3.1","","-3.6","-2.2","0.9","5760"
"Sheldon Neuse","OAK","112","436","402","100","17","2","10","47","47","28","123","3","5","1","",".248",".299",".378",".677",".294","","0.7","-0.5","","-5.1","-0.9","0.9","19635"
"Hoy Park","PIT","89","348","299","72","14","3","7","46","31","41","79","3","8","4","",".240",".337",".378",".715",".313","","0.0","-2.1","","-2.0","-0.8","0.9","18027"
"Steven Duggar","SFG","94","323","292","70","16","3","6","39","33","26","100","2","10","2","",".240",".304",".379",".683",".295","","1.2","1.1","","-4.4","2.2","0.9","17719"
"Andrew Velazquez","LAA","93","314","284","65","15","3","6","41","29","24","90","2","18","3","",".228",".288",".364",".652",".284","","2.1","0.6","","-6.5","4.3","0.8","14196"
"Michael Hermosillo","CHC","64","236","204","45","8","2","9","31","30","20","73","10","5","2","",".220",".319",".411",".730",".319","","0.0","1.0","","-0.8","1.4","0.8","16285"
"Nick Solak","TEX","126","501","451","117","18","2","13","62","55","36","107","10","7","4","",".258",".326",".395",".721",".315","","-0.2","-3.4","","-0.1","-8.5","0.8","19294"
"Gavin Sheets","CHW","99","380","348","88","16","0","17","44","57","26","85","2","1","1","",".253",".307",".444",".751",".322","","-0.5","0.6","","1.6","-6.2","0.8","19901"
"Josh VanMeter","PIT","108","356","311","68","18","2","10","39","39","42","90","2","7","3","",".218",".313",".390",".703",".307","","0.1","-1.0","","-3.8","0.3","0.8","15170"
"Luis Guillorme","NYM","82","230","197","50","9","0","4","25","14","28","39","1","1","1","",".255",".349",".354",".703",".314","","-1.1","0.7","","-0.8","1.5","0.8","16451"
"Jonathan Villar","CHC","122","473","426","109","16","2","13","58","46","39","117","2","18","6","",".256",".319",".394",".713",".310","","0.7","-4.0","","-4.6","-2.9","0.8","10071"
"Marcell Ozuna","ATL","87","370","335","86","15","1","16","44","56","31","78","1","2","0","",".256",".320",".450",".770",".329","","0.0","0.7","","1.3","-5.3","0.8","10324"
"Pavin Smith","ARI","113","438","395","104","19","3","11","49","41","38","83","2","2","1","",".264",".330",".410",".739",".320","","-0.2","0.0","","-1.7","-4.6","0.8","19892"
"Jace Peterson","MIL","99","326","284","66","12","2","7","38","34","38","73","2","9","2","",".233",".326",".364",".691",".306","","1.3","-0.3","","-3.3","0.7","0.8","12325"
"Manuel Margot","TBR","116","406","370","94","18","4","8","47","46","31","71","1","12","7","",".255",".314",".386",".700",".303","","-0.7","2.6","","-2.5","-3.1","0.8","14712"
"Matt Reynolds","CIN","79","301","265","65","16","2","5","41","25","30","81","2","3","2","",".245",".325",".371",".696",".306","","-0.4","1.0","","-6.2","4.4","0.8","13788"
"Sam Hilliard","COL","112","413","372","84","16","4","18","51","51","36","135","2","11","3","",".225",".295",".438",".733",".311","","1.1","4.7","","-9.3","3.7","0.8","17954"
"Jesús Aguilar","MIA","109","400","353","91","14","0","15","40","64","42","84","2","0","0","",".257",".336",".425",".762",".328","","-0.5","0.6","","3.9","-9.1","0.8","11342"
"Alejo Lopez","CIN","93","382","347","95","15","1","4","49","28","26","51","5","5","3","",".273",".331",".353",".684",".302","","-1.0","3.5","","-9.6","4.9","0.8","21127"
"Cal Raleigh","SEA","83","328","303","65","17","0","13","32","40","20","86","2","2","1","",".214",".268",".396",".663",".284","","0.1","-2.3","","-6.8","3.7","0.8","21534"
"Willi Castro","DET","113","439","404","102","18","5","9","51","40","22","101","7","10","4","",".253",".301",".395",".696",".300","","-0.1","-2.4","","-6.1","-0.8","0.8","17338"
"Thairo Estrada","SFG","96","343","317","82","16","1","10","49","42","18","64","5","6","2","",".258",".307",".411",".719",".309","","0.6","-3.4","","-1.5","-1.9","0.8","16426"
"Rougned Odor","BAL","102","388","347","74","18","1","18","50","54","30","112","7","3","4","",".213",".286",".428",".714",".304","","-1.0","-0.8","","-5.6","0.4","0.8","12282"
"Seth Brown","OAK","108","382","352","79","20","3","16","46","57","26","114","2","4","1","",".226",".281",".437",".718",".303","","0.6","1.9","","-1.7","-3.4","0.8","18171"
"Aaron Hicks","NYY","59","238","198","46","7","1","7","32","27","36","54","2","3","2","",".231",".351",".386",".736",".326","","-0.3","-2.4","","1.8","-2.0","0.8","5297"
"Luis Campusano","SDP","79","319","289","69","13","2","10","32","30","23","69","4","1","0","",".238",".300",".396",".696",".302","","-0.9","-4.0","","-4.7","1.9","0.8","22217"
"Brandon Marsh","LAA","92","367","328","82","14","3","6","35","31","32","111","3","8","3","",".249",".318",".369",".687",".301","","0.2","1.9","","-4.7","0.1","0.8","20202"
"Mike Brosseau","MIL","96","328","294","68","14","1","11","39","38","26","88","6","3","1","",".233",".308",".399",".707",".307","","0.0","0.5","","-4.5","1.3","0.8","19683"
"Yonny Hernandez","ARI","90","356","305","73","11","2","1","39","18","40","65","7","21","9","",".240",".339",".301",".640",".293","","0.3","3.7","","-9.0","5.0","0.8","19432"
"Cristian Pache","OAK","106","399","370","78","17","3","10","47","37","23","109","2","5","5","",".212",".261",".355",".616",".267","","-0.9","7.9","","-15.4","9.4","0.8","19948"
"Joey Bart","SFG","68","278","253","59","11","1","9","34","27","19","91","4","1","1","",".233",".295",".383",".678",".295","","-0.4","-0.8","","-5.3","3.6","0.8","21524"
"Elias Díaz","COL","93","318","291","76","16","1","10","38","36","24","53","2","0","0","",".260",".317",".426",".743",".320","","-0.5","-3.0","","-6.3","3.1","0.7","11680"
"Santiago Espinal","TOR","101","357","326","82","17","1","5","37","29","25","59","2","7","4","",".252",".307",".355",".662",".289","","-0.5","4.1","","-10.2","5.4","0.7","19997"
"Adam Engel","CHW","100","326","299","71","15","2","9","36","31","17","81","7","11","3","",".238",".292",".397",".689",".298","","0.5","2.4","","-4.1","0.5","0.7","15082"
"Austin Barnes","LAD","73","221","193","40","8","0","7","28","23","21","54","4","2","1","",".209",".299",".352",".652",".286","","-0.4","2.1","","-6.2","6.2","0.7","12158"
"Yan Gomes","CHC","79","291","269","65","13","1","10","33","36","16","65","4","1","0","",".243",".295",".405",".700",".299","","0.1","1.0","","-5.8","3.4","0.7","9627"
"Victor Caratini","MIL","91","278","246","60","9","0","7","29","32","27","61","4","2","0","",".243",".324",".366",".690",".301","","0.5","-2.4","","-4.7","2.7","0.7","14968"
"Jaylin Davis","BOS","82","336","302","71","14","1","14","43","41","26","103","5","5","2","",".235",".303",".427",".730",".314","","-0.3","2.5","","-2.9","-1.2","0.7","19552"
"Didi Gregorius","PHI","88","350","321","80","15","2","11","41","51","21","54","6","2","2","",".250",".306",".418",".724",".310","","0.0","-4.2","","-3.9","-0.6","0.7","6012"
"Yadier Molina","STL","92","353","332","80","13","0","7","30","42","15","57","4","3","0","",".241",".279",".342",".622",".271","","-0.4","2.5","","-13.5","9.0","0.7","7007"
"Kyle Farmer","CIN","126","412","379","95","20","2","9","41","46","18","78","11","3","2","",".251",".303",".386",".689",".299","","-1.5","-0.1","","-11.8","5.3","0.7","14813"
"Garrett Stubbs","PHI","54","180","159","36","7","1","3","21","15","16","35","2","4","1","",".229",".303",".349",".652",".288","","0.4","2.8","","-4.9","6.1","0.7","18067"
"Kevin Padlo","SFG","86","335","299","61","14","1","10","36","35","30","106","3","5","2","",".204",".282",".360",".642",".280","","0.0","4.8","","-10.0","6.0","0.7","16593"
"Manny Piña","ATL","55","158","139","30","5","0","6","15","23","13","33","4","0","0","",".216",".301",".382",".682",".297","","-0.1","2.8","","-3.8","5.7","0.7","2829"
"José Godoy","MIN","67","264","240","59","11","1","4","32","24","16","54","3","1","0","",".244",".298",".342",".640",".282","","0.6","0.3","","-7.0","5.1","0.7","15808"
"Aledmys Díaz","HOU","80","292","266","65","14","0","7","29","36","18","52","6","1","1","",".243",".303",".380",".683",".296","","-0.4","1.6","","-4.4","1.6","0.7","15937"
"Cam Gallagher","KCR","50","150","137","35","8","0","2","14","11","10","26","1","0","0","",".254",".306",".365",".671",".294","","-0.1","2.4","","-3.2","5.2","0.7","12981"
"Ramón Urías","BAL","96","357","321","79","18","0","9","38","38","28","85","5","2","2","",".246",".314",".387",".701",".306","","-0.4","-2.3","","-4.2","-0.9","0.7","18795"
"Elvis Andrus","OAK","116","464","428","104","21","2","5","53","34","29","70","4","10","3","",".244",".295",".339",".634",".278","","0.8","-1.3","","-11.7","2.9","0.7","8709"
"Jonathan Araúz","BOS","87","309","277","64","13","1","8","39","32","25","63","1","2","1","",".231",".294",".365",".659",".288","","0.3","4.0","","-8.7","5.1","0.7","20275"
"Eric Hosmer","SDP","121","488","442","119","22","1","12","49","64","39","95","3","3","3","",".269",".331",".406",".737",".318","","-1.5","0.7","","-0.6","-8.7","0.7","3516"
"Zach McKinstry","LAD","87","314","285","67","13","2","11","35","43","23","79","3","4","4","",".235",".296",".412",".708",".304","","-1.1","-0.1","","-4.6","1.1","0.7","19392"
"Martín Maldonado","HOU","93","320","281","52","10","1","9","32","31","30","94","5","0","0","",".184",".272",".319",".591",".262","","-0.6","3.1","","-13.9","9.8","0.7","6887"
"Brendan Rodgers","COL","92","370","342","91","18","2","12","42","42","19","78","6","1","1","",".265",".313",".439",".752",".322","","-0.6","-0.4","","-6.5","1.0","0.7","17907"
"Bradley Zimmer","TOR","91","306","266","56","8","1","7","40","29","25","108","13","12","4","",".211",".308",".332",".640",".288","","0.7","3.4","","-7.9","4.1","0.7","16221"
"Owen Miller","CLE","102","412","378","97","21","2","9","47","38","27","95","3","2","2","",".257",".309",".391",".701",".304","","-0.7","3.1","","-5.1","-2.4","0.7","24655"
"Tyler Heineman","TOR","48","169","152","37","8","1","4","19","16","12","32","2","1","1","",".242",".305",".378",".683",".298","","-0.2","1.2","","-3.5","4.3","0.7","13897"
"Josh Harrison","CHW","102","395","361","89","18","2","6","40","37","21","57","12","5","3","",".247",".307",".361",".668",".294","","-0.5","0.8","","-7.6","0.7","0.7","8202"
"Christian Walker","ARI","111","433","390","93","22","2","16","55","51","37","108","4","2","1","",".237",".308",".426",".734",".315","","0.2","3.2","","-3.1","-4.9","0.7","13419"
"Rob Refsnyder","BOS","60","211","189","48","12","1","5","25","22","20","52","2","1","1","",".255",".328",".398",".726",".315","","-0.3","0.1","","-1.7","0.9","0.6","13770"
"Jurickson Profar","SDP","113","400","347","81","19","2","10","50","45","43","62","6","8","2","",".232",".325",".385",".710",".312","","0.3","-0.6","","-1.1","-5.8","0.6","10815"
"Joey Votto","CIN","103","425","361","85","17","1","18","49","59","57","104","5","1","0","",".235",".344",".439",".783",".338","","-1.1","-2.3","","2.0","-9.9","0.6","4314"
"Kevin Newman","PIT","119","465","431","114","21","4","5","46","41","25","45","2","7","4","",".263",".306",".367",".673",".291","","-0.9","-2.3","","-12.0","2.7","0.6","17696"
"Kevin Smith","OAK","98","390","358","77","17","2","13","41","44","25","116","3","10","3","",".215",".270",".386",".656",".282","","0.2","0.3","","-9.1","2.0","0.6","20242"
"Jose Herrera","ARI","72","274","241","51","10","1","5","28","21","30","67","1","2","1","",".210",".297",".313",".611",".273","","-0.1","5.4","","-11.7","8.7","0.6","17040"
"Travis Demeritte","ATL","91","347","308","72","17","1","15","45","44","33","115","3","4","1","",".233",".310",".445",".755",".323","","0.2","-1.3","","-0.5","-4.9","0.6","15958"
"Ben Gamel","PIT","110","341","296","75","18","3","6","39","26","40","82","2","4","4","",".254",".346",".393",".739",".324","","-0.4","-1.9","","0.5","-5.8","0.6","12160"
"Jason Castro","HOU","56","172","145","29","6","0","6","18","17","22","56","3","0","0","",".201",".316",".369",".685",".304","","-0.1","-1.7","","-1.3","1.5","0.6","8722"
"Connor Joe","COL","87","343","296","76","16","2","11","44","42","40","69","4","1","1","",".258",".352",".440",".793",".344","","-0.8","1.2","","0.0","-5.4","0.6","16572"
"Nelson Cruz","WSN","106","439","393","100","13","1","24","59","71","38","99","5","2","0","",".253",".324",".470",".794",".334","","0.0","-0.7","","3.5","-12.2","0.6","2434"
"Cooper Hummel","ARI","90","331","277","62","12","2","9","41","34","45","83","5","3","2","",".224",".343",".379",".722",".321","","-0.3","-0.1","","-1.3","-3.7","0.6","19458"
"Chad Pinder","OAK","87","273","251","63","15","1","9","34","34","16","72","3","1","1","",".251",".302",".426",".728",".312","","-0.1","0.0","","0.2","-3.6","0.6","15191"
"TJ Friedl","CIN","91","358","315","77","12","4","8","40","28","31","67","8","9","4","",".243",".325",".383",".708",".310","","0.1","-1.8","","-5.5","-0.5","0.6","19522"
"Austin Hedges","CLE","82","283","256","49","8","0","10","27","33","17","80","3","1","0","",".191",".248",".343",".590",".254","","-0.2","5.3","","-14.8","11.1","0.6","12976"
