"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","BsR","Fld","-1","Off","Def","WAR","playerid"
"Bryan Lavastida","CLE","73","284","254","62","13","1","6","44","31","23","60","2","8","4","",".244",".311",".374",".685",".299","","-0.3","-4.6","","-4.4","0.6","0.6","24765"
"Eli White","TEX","85","316","284","62","12","2","8","38","26","25","91","5","8","3","",".218",".291",".357",".648",".285","","0.8","2.4","","-7.1","2.2","0.6","19346"
"Kole Calhoun","TEX","94","363","326","72","14","1","15","43","39","32","87","4","2","1","",".223",".298",".404",".702",".302","","-0.3","0.6","","-4.0","-2.5","0.6","11200"
"Kyle Higashioka","NYY","66","220","203","40","10","0","9","23","30","14","59","1","0","0","",".199",".253",".384",".637",".273","","-0.1","1.8","","-7.8","6.1","0.6","5517"
"Wil Myers","SDP","112","397","357","86","19","2","13","43","49","37","117","1","7","4","",".240",".312",".411",".723",".312","","-0.4","-1.1","","-1.6","-5.9","0.6","10047"
"Lars Nootbaar","STL","87","281","252","60","6","2","8","34","29","26","60","1","4","3","",".239",".311",".377",".688",".298","","-0.9","4.3","","-4.9","1.2","0.6","21454"
"Joe Perez","HOU","86","382","356","88","21","0","11","41","39","23","99","0","2","2","",".247",".291",".401",".692",".298","","-0.8","-3.3","","-5.5","-1.9","0.6","22254"
"Riley Adams","WSN","73","269","235","50","10","1","8","27","24","24","90","8","1","0","",".211",".304",".362",".665",".294","","-0.1","-1.7","","-6.7","3.3","0.6","19864"
"Tucupita Marcano","PIT","96","383","345","82","11","2","5","49","28","34","58","0","8","5","",".238",".304",".324",".629",".279","","0.1","4.2","","-12.9","5.6","0.6","22871"
"Geraldo Perdomo","ARI","88","360","312","69","11","4","4","40","22","38","81","6","8","6","",".222",".318",".316",".633",".284","","-0.7","3.0","","-12.6","6.1","0.5","22799"
"Kyle Garlick","MIN","74","231","213","50","13","1","12","31","32","14","69","2","2","0","",".234",".287",".475",".763",".321","","0.1","-1.2","","0.9","-3.3","0.5","18063"
"Niko Goodrum","HOU","87","335","301","66","15","2","9","38","37","29","109","2","11","3","",".219",".291",".374",".665",".290","","0.9","0.7","","-5.4","-0.6","0.5","12092"
"Garrett Cooper","MIA","81","302","265","69","11","1","9","34","34","30","80","7","1","1","",".259",".347",".410",".757",".332","","-0.7","-1.6","","3.5","-8.2","0.5","15279"
"Aristides Aquino","CIN","98","332","297","63","11","1","18","41","53","30","110","3","5","2","",".211",".289",".437",".726",".309","","0.3","2.4","","-5.1","-0.6","0.5","15482"
"J.D. Davis","NYM","90","299","263","68","13","1","9","33","31","30","78","5","2","0","",".258",".343",".422",".764",".332","","-0.2","-5.9","","4.8","-9.5","0.5","16219"
"Marwin Gonzalez","NYY","83","294","266","62","12","0","8","31","34","21","70","5","2","2","",".232",".297",".364",".661",".288","","-0.5","1.2","","-7.0","2.3","0.5","5497"
"Hanser Alberto","LAD","102","338","323","87","16","2","5","35","33","7","35","3","2","2","",".271",".291",".381",".672",".289","","-0.3","0.9","","-8.2","2.1","0.5","11902"
"Connor Wong","BOS","66","272","253","57","12","2","9","29","32","14","93","2","5","2","",".225",".271",".399",".670",".287","","0.6","-1.4","","-7.6","3.5","0.5","19896"
"Reese McGuire","CHW","79","259","235","52","11","1","5","24","18","17","53","2","1","0","",".220",".276",".338",".615",".268","","-0.2","1.1","","-10.4","6.7","0.5","15674"
"Jose Siri","HOU","101","387","357","79","15","3","12","45","46","22","140","4","16","4","",".223",".274",".384",".657",".283","","1.7","-0.8","","-7.8","-0.3","0.5","17452"
"Eddie Rosario","ATL","101","405","378","98","18","1","16","52","60","24","61","0","6","1","",".260",".301",".446",".747",".317","","0.7","-2.7","","-1.9","-6.5","0.5","12155"
"Tim Locastro","NYY","82","232","201","47","10","2","4","34","18","14","46","14","13","3","",".232",".326",".362",".687",".306","","1.4","-1.4","","-0.3","-2.5","0.5","15124"
"Yadiel Hernandez","WSN","96","329","301","84","14","1","12","40","46","25","74","1","2","2","",".279",".334",".450",".784",".335","","-1.3","-3.1","","1.7","-7.6","0.5","19334"
"Colin Moran","CIN","104","352","316","82","14","0","13","34","60","30","87","2","1","1","",".258",".325",".428",".753",".323","","-0.6","-3.0","","-2.3","-4.4","0.5","16909"
"Lane Thomas","WSN","96","343","304","71","16","2","10","42","43","34","95","2","7","4","",".233",".311",".402",".713",".309","","-0.3","0.8","","-4.6","-1.9","0.5","16939"
"Josh Naylor","CLE","97","360","330","88","18","1","12","42","43","26","62","2","2","1","",".266",".320",".432",".752",".322","","-1.1","-1.7","","0.6","-7.9","0.5","18839"
"Jorge Mateo","BAL","107","380","357","84","19","5","8","39","32","16","106","3","17","7","",".236",".273",".382",".654",".280","","0.2","-0.5","","-12.0","3.9","0.5","17273"
"Christian Lopes","OAK","77","302","266","58","13","1","7","34","27","28","79","5","5","3","",".217",".301",".349",".650",".288","","-0.3","-0.6","","-6.0","0.5","0.5","13472"
"Daniel Vogelbach","PIT","104","366","308","72","15","0","15","45","44","55","82","1","0","0","",".235",".350",".424",".774",".337","","-0.4","-0.9","","4.7","-12.2","0.5","14130"
"Matt Duffy","LAA","79","282","250","69","10","0","4","31","23","25","52","5","5","2","",".274",".347",".360",".708",".315","","-0.2","-2.8","","-0.7","-4.2","0.5","13836"
"Daz Cameron","DET","80","336","301","67","14","3","9","38","31","26","95","6","11","4","",".222",".296",".375",".671",".293","","0.4","-2.0","","-6.1","-0.7","0.5","18353"
"Drew Ellis","ARI","87","352","308","65","17","1","10","39","37","35","101","5","1","2","",".212",".300",".365",".666",".293","","-0.7","1.5","","-9.9","2.7","0.5","19873"
"Jarred Kelenic","SEA","110","451","407","89","19","3","19","53","62","38","121","3","11","5","",".219",".289",".416",".705",".302","","-0.2","-3.4","","-3.0","-7.9","0.4","22558"
"Bobby Dalbec","BOS","111","415","372","82","16","3","20","48","56","32","144","8","2","1","",".219",".294",".434",".728",".311","","0.2","1.9","","-4.1","-5.6","0.4","19966"
"Zach Reks","TEX","82","335","299","71","14","1","12","43","40","30","100","4","1","1","",".237",".313",".403",".716",".311","","-0.5","-1.8","","-1.4","-5.5","0.4","19667"
"Nick Senzel","CIN","74","279","255","63","14","2","7","35","26","21","56","1","6","5","",".248",".306",".400",".705",".305","","-1.8","1.5","","-7.3","2.4","0.4","19293"
"Ryan McKenna","BAL","103","348","306","69","13","2","10","39","35","34","107","4","8","5","",".226",".307",".381",".688",".300","","-0.1","0.2","","-5.7","-1.7","0.4","19928"
"Nick Allen","OAK","77","320","293","68","14","2","5","38","29","19","69","2","7","4","",".233",".284",".346",".630",".275","","-0.1","-0.6","","-9.5","3.0","0.4","22277"
"Alex Jackson","MIL","66","242","214","39","7","1","11","26","26","17","97","8","1","0","",".183",".269",".381",".650",".281","","0.0","0.4","","-8.6","4.8","0.4","17276"
"Bobby Bradley","CLE","89","350","315","66","13","1","18","41","48","28","129","5","0","0","",".211",".283",".433",".716",".305","","-0.2","2.4","","-3.7","-4.0","0.4","17278"
"Garrett Hampson","COL","110","384","350","87","16","5","9","51","28","27","93","2","16","5","",".248",".303",".400",".703",".303","","0.7","-1.2","","-11.6","3.0","0.4","19262"
"Dom Nuñez","COL","64","230","198","40","10","2","9","27","27","30","75","2","1","1","",".200",".306",".406",".712",".306","","-0.3","-0.7","","-7.1","3.5","0.4","15055"
"Dustin Garneau","DET","47","152","136","27","7","0","6","17","18","11","43","3","0","0","",".202",".278",".390",".667",".289","","-0.1","-0.4","","-3.5","2.4","0.4","9433"
"Travis Shaw","","85","287","251","53","12","0","10","27","36","30","75","3","1","1","",".212",".303",".379",".682",".298","","-0.3","-0.7","","-6.1","0.4","0.4","11982"
"DJ Stewart","BAL","82","292","252","56","12","1","12","36","39","34","75","4","2","2","",".223",".323",".423",".746",".323","","-0.4","-3.3","","0.6","-6.6","0.4","17766"
"C.J. Abrams","SDP","47","196","177","41","9","1","4","26","19","12","42","3","9","3","",".231",".289",".349",".639",".280","","0.5","1.7","","-5.3","2.7","0.4","25768"
"Sergio Alcántara","ARI","96","321","283","63","9","3","5","35","23","31","81","2","5","2","",".224",".303",".331",".634",".281","","-0.5","4.0","","-12.1","5.3","0.4","16417"
"Jose Trevino","NYY","75","258","244","56","12","0","5","24","24","10","46","0","1","1","",".229",".259",".340",".599",".258","","-0.2","3.2","","-12.5","7.5","0.4","16725"
"Matt Vierling","PHI","100","365","331","76","14","2","8","38","33","24","87","5","8","2","",".229",".290",".350",".640",".280","","0.2","4.4","","-13.0","4.7","0.4","21558"
"Kevin Plawecki","BOS","51","154","137","34","8","1","2","13","15","11","27","3","0","0","",".248",".316",".365",".681",".299","","-0.2","-1.2","","-3.2","1.6","0.4","13807"
"Yu Chang","CLE","78","262","242","57","13","2","9","32","35","15","76","3","2","2","",".235",".287",".416",".703",".301","","-0.5","3.3","","-3.8","-1.5","0.4","14773"
"Charlie Blackmon","COL","113","475","427","117","23","3","15","69","59","38","81","6","3","2","",".274",".340",".444",".784",".337","","-0.1","-3.7","","-1.8","-10.4","0.4","7859"
"Frank Schwindel","CHC","102","418","392","102","21","1","18","49","60","20","74","2","2","1","",".260",".299",".455",".754",".320","","-0.5","-0.6","","-1.6","-8.9","0.4","15351"
"Yonathan Daza","COL","101","351","325","92","16","2","4","33","28","19","58","2","5","3","",".282",".323",".381",".704",".307","","-0.9","2.0","","-11.1","2.8","0.3","15794"
"Jack Mayfield","LAA","91","339","313","72","16","1","12","38","41","18","72","4","5","1","",".231",".280",".402",".682",".293","","0.0","-1.3","","-6.8","-1.3","0.3","15402"
"Rafael Ortega","CHC","109","391","350","86","18","2","11","46","39","35","79","2","9","6","",".246",".317",".402",".719",".312","","-0.7","1.1","","-4.5","-5.1","0.3","10323"
"Robinson Chirinos","BAL","65","204","176","35","8","1","6","19","21","21","63","5","0","0","",".200",".302",".357",".660",".291","","-0.2","-2.7","","-4.9","1.3","0.3","3142"
"Aramis Garcia","CIN","72","265","244","55","11","1","10","29","30","15","83","2","0","1","",".224",".274",".394",".668",".287","","-0.8","1.2","","-10.0","4.5","0.3","16925"
"Josh Lowe","TBR","101","416","368","84","18","3","12","53","47","39","129","2","16","2","",".229",".303",".388",".691",".301","","2.2","-4.0","","-0.6","-10.3","0.3","19953"
"Diego Castillo","PIT","98","394","361","89","18","1","8","41","32","26","55","3","6","2","",".247",".301",".371",".672",".293","","0.2","-2.4","","-8.7","-1.1","0.3","19906"
"Alex Kirilloff","MIN","67","277","258","67","12","1","9","29","33","15","65","2","2","2","",".261",".306",".421",".727",".311","","-0.7","0.9","","-2.1","-4.1","0.3","20325"
"Randal Grichuk","COL","121","473","441","118","25","2","22","59","75","25","99","4","1","2","",".268",".310",".487",".797",".337","","-1.3","-7.8","","-2.9","-9.7","0.3","10243"
"Nick Gordon","MIN","81","294","274","69","13","2","5","31","27","16","69","3","12","3","",".251",".298",".365",".664",".289","","1.1","-0.8","","-5.6","-1.3","0.3","16337"
"Charlie Culberson","TEX","85","205","188","46","10","2","5","23","22","12","51","2","4","1","",".247",".296",".389",".685",".295","","0.5","-1.4","","-3.0","-0.9","0.3","3298"
"Emmanuel Rivera","KCR","89","361","336","82","16","2","8","40","35","19","72","2","3","1","",".243",".286",".368",".654",".283","","0.0","0.4","","-10.9","1.8","0.3","19890"
"Jose Rojas","LAA","91","367","337","76","18","2","12","45","41","26","88","1","4","2","",".225",".281",".396",".677",".291","","-0.2","-2.5","","-8.3","-1.2","0.3","19331"
"Gosuke Katoh","TOR","89","318","283","64","13","2","6","35","24","29","83","2","5","3","",".227",".302",".346",".648",".286","","-0.2","0.7","","-9.7","1.9","0.3","15697"
"Seth Beer","ARI","101","431","379","97","20","0","13","50","46","31","93","18","0","2","",".256",".339",".413",".753",".328","","-1.2","-2.6","","0.0","-11.4","0.3","20493"
"Curt Casali","SFG","63","191","169","36","8","0","5","17","19","17","56","2","0","0","",".212",".293",".342",".635",".278","","-0.5","-0.4","","-6.6","3.1","0.3","12510"
"Tyler Wade","LAA","108","291","260","60","11","2","3","36","19","23","72","3","16","6","",".229",".298",".325",".623",".275","","0.5","0.6","","-9.5","2.5","0.3","15730"
"Luke Maile","CLE","46","143","127","27","8","0","2","16","12","13","40","2","1","0","",".213",".290",".311",".601",".269","","-0.1","1.1","","-5.7","3.7","0.3","13355"
"Chris Owings","BAL","79","244","221","45","9","2","8","27","22","20","80","2","6","3","",".204",".273",".362",".635",".275","","-0.1","2.6","","-9.0","3.5","0.3","10030"
"Christian Arroyo","BOS","58","197","179","44","9","1","6","23","24","10","45","4","2","0","",".245",".299",".403",".703",".304","","0.3","0.1","","-2.9","-1.1","0.3","16434"
"Matt Davidson","ARI","79","307","275","63","14","0","15","34","48","25","88","5","0","0","",".229",".302",".441",".743",".318","","-0.1","-0.1","","-1.8","-5.8","0.3","7226"
"Carlos Santana","KCR","110","464","396","89","16","0","13","50","49","65","71","2","2","0","",".225",".334",".363",".697",".308","","0.0","-0.2","","-4.4","-8.8","0.3","2396"
"Jorge Alfaro","SDP","90","316","291","70","12","1","8","26","35","14","106","7","6","2","",".239",".288",".368",".657",".285","","0.4","-4.4","","-7.8","-0.3","0.2","12180"
"Stephen Piscotty","OAK","78","282","257","61","13","0","9","29","33","20","67","4","2","0","",".240",".302",".393",".695",".301","","0.1","-1.7","","-2.0","-5.2","0.2","13367"
"Mike Moustakas","CIN","91","349","315","77","17","1","14","38","50","28","70","4","2","0","",".246",".313",".444",".757",".323","","0.1","-4.5","","-1.7","-7.6","0.2","4892"
"Jake Marisnick","PIT","93","222","202","44","11","3","5","27","21","12","64","5","5","2","",".218",".276",".368",".644",".280","","0.2","4.0","","-7.3","2.2","0.2","11339"
"Leury García","CHW","108","416","380","95","16","2","7","50","38","24","89","3","7","2","",".249",".298",".362",".660",".288","","0.5","-3.5","","-8.8","-3.0","0.2","5913"
"Jack Suwinski","PIT","94","374","330","74","14","2","13","43","38","38","105","2","5","3","",".223",".305",".398",".703",".305","","-0.2","-1.1","","-5.0","-5.2","0.2","22244"
"Dominic Smith","NYM","116","374","340","86","20","1","10","39","51","24","89","7","1","1","",".254",".314",".403",".717",".310","","0.1","-4.1","","-0.3","-9.9","0.2","15653"
"Adam Haseley","CHW","84","319","289","68","12","1","8","37","32","22","71","4","5","2","",".236",".297",".366",".663",".289","","0.0","-3.0","","-6.9","-1.9","0.2","19878"
"Jo Adell","LAA","95","401","372","89","17","3","17","42","62","22","117","3","7","3","",".240",".286",".443",".728",".310","","0.1","-5.4","","-2.3","-9.2","0.2","20220"
"Alan Trejo","COL","98","364","339","80","16","2","11","41","39","17","90","2","2","3","",".235",".275",".384",".659",".283","","-0.8","4.4","","-18.6","8.4","0.2","20056"
"Eric Haase","DET","94","346","317","67","11","1","13","40","46","25","109","2","2","0","",".212",".272",".376",".649",".281","","-0.5","1.4","","-10.8","1.0","0.2","14111"
"Luke Williams","SFG","91","308","278","60","13","2","5","32","25","23","81","3","11","5","",".216",".282",".323",".605",".267","","-0.1","3.5","","-12.9","4.6","0.2","19931"
"Luke Voit","SDP","83","331","286","67","11","1","14","41","46","37","95","6","1","0","",".235",".331",".423",".754",".327","","-1.0","-2.7","","2.1","-11.3","0.2","14811"
"Alfonso Rivas","CHC","83","337","299","74","13","1","5","41","30","33","84","4","1","2","",".248",".329",".349",".677",".300","","-1.2","3.1","","-7.7","-1.7","0.2","21560"
"Tomás Nido","NYM","55","164","155","34","6","1","3","14","16","5","47","1","1","0","",".216",".247",".325",".572",".245","","-0.2","2.1","","-9.2","5.5","0.2","13755"
"Mark Kolozsvary","CIN","56","206","182","32","7","1","5","19","18","16","73","7","0","1","",".176",".267",".314",".581",".260","","-0.4","3.3","","-12.2","7.1","0.2","21304"
"Trevor Larnach","MIN","93","371","330","76","18","1","10","38","36","32","121","6","2","0","",".230",".307",".379",".686",".300","","0.3","-1.2","","-4.9","-6.0","0.2","21501"
"Tyler Naquin","CIN","102","354","327","84","20","2","12","39","50","22","83","3","4","2","",".257",".309",".436",".744",".318","","-0.2","-0.3","","-3.4","-6.7","0.2","13359"
"Brandon Drury","CIN","96","324","299","72","16","1","12","35","40","21","77","2","0","1","",".240",".290",".422",".712",".305","","-1.4","0.6","","-7.9","-1.2","0.2","11615"
"J.J. Matijevic","HOU","79","331","301","65","15","2","14","37","43","27","112","1","5","2","",".215",".279",".420",".698",".299","","-0.3","0.6","","-4.1","-5.5","0.2","20165"
"Franchy Cordero","BOS","90","334","301","72","18","2","9","44","39","27","104","2","7","2","",".238",".303",".404",".707",".305","","0.8","-1.8","","-4.3","-5.5","0.2","14567"
"Billy McKinney","OAK","101","310","276","56","13","3","9","33","29","30","82","2","2","1","",".203",".281",".370",".652",".282","","-1.3","3.6","","-8.6","-0.3","0.2","15654"
"Darin Ruf","SFG","103","379","334","77","15","1","13","40","42","39","103","4","3","1","",".229",".316",".396",".712",".310","","-0.1","-1.0","","-2.2","-8.8","0.2","9929"
"Andrew McCutchen","MIL","99","414","356","83","16","1","15","53","55","52","96","4","6","3","",".232",".333",".407",".741",".323","","-0.2","-2.4","","-0.3","-12.0","0.1","9847"
"Ryan O'Hearn","KCR","97","335","301","67","14","2","12","32","40","29","86","2","2","0","",".224",".295",".405",".700",".301","","0.0","-1.0","","-5.2","-4.7","0.1","16442"
"Michael Chavis","PIT","90","343","316","78","13","2","15","40","46","18","99","5","2","2","",".247",".295",".442",".738",".315","","-0.9","-3.6","","-2.5","-7.5","0.1","17321"
"Clint Frazier","CHC","82","304","268","61","16","1","10","35","32","30","86","4","3","2","",".227",".314",".407",".721",".314","","-0.1","-3.0","","-2.5","-6.4","0.1","15983"
"Anthony Bemboom","BAL","61","209","186","36","6","1","5","22","17","17","54","2","1","1","",".196",".269",".322",".590",".261","","-0.4","1.1","","-10.4","4.4","0.1","13854"
"Roman Quinn","PHI","41","115","102","23","3","2","2","14","7","9","33","2","9","2","",".222",".298",".333",".632",".280","","0.8","0.0","","-3.3","0.5","0.1","13546"
"Travis Jankowski","NYM","76","205","179","43","5","1","1","27","10","22","39","1","8","3","",".239",".327",".302",".629",".283","","0.0","-0.6","","-4.9","-1.1","0.1","13768"
"Drew Jackson","OAK","66","237","208","41","8","1","5","28","21","23","74","4","10","2","",".198",".287",".307",".595",".266","","0.8","-0.2","","-7.9","0.7","0.1","17807"
"Stephen Vogt","OAK","62","187","167","32","8","1","5","18","20","18","48","0","0","0","",".190",".267",".336",".602",".263","","-0.1","-1.6","","-7.5","1.9","0.1","5000"
"Ernie Clement","CLE","79","317","292","69","15","2","2","32","19","16","43","3","5","4","",".236",".282",".320",".603",".266","","-1.0","4.1","","-14.4","4.2","0.1","20352"
"Payton Henry","MIA","79","299","271","53","9","1","6","28","23","18","101","7","0","1","",".195",".263",".303",".566",".251","","-0.4","1.5","","-16.3","7.0","0.1","22164"
"Harold Ramirez","TBR","103","386","361","97","21","2","8","41","43","17","71","6","3","2","",".269",".310",".400",".710",".306","","-0.8","-4.3","","-1.6","-11.0","0.1","14387"
"Kelvin Gutierrez","BAL","93","354","326","75","10","2","7","32","32","23","87","3","4","2","",".230",".285",".339",".624",".274","","-0.2","1.8","","-13.4","1.9","0.1","17468"
"Keston Hiura","MIL","102","397","353","80","16","2","15","46","48","31","136","9","7","3","",".226",".304",".408",".711",".308","","0.0","-3.9","","-5.1","-7.6","0.1","20003"
"Gary Sánchez","MIN","93","365","321","66","14","1","17","42","51","36","102","6","1","0","",".206",".297",".409",".706",".305","","-1.4","-7.0","","-5.0","-6.9","0.0","11442"
"Tyler Nevin","BAL","96","386","347","81","16","1","12","44","43","30","84","4","2","1","",".233",".301",".389",".690",".300","","-1.1","1.5","","-7.1","-5.6","0.0","17893"
"Gilberto Celestino","MIN","90","350","318","75","17","0","7","43","29","25","76","4","4","2","",".236",".300",".355",".654",".287","","-0.3","-3.0","","-8.9","-3.2","0.0","20233"
"Trayce Thompson","SDP","78","297","264","50","9","1","12","33","38","27","107","3","4","2","",".189",".270",".367",".637",".278","","0.0","-1.8","","-9.4","-0.7","0.0","9952"
"Mickey McDonald","OAK","84","328","294","62","10","2","2","35","21","25","88","4","8","2","",".209",".279",".277",".556",".250","","0.8","3.0","","-15.7","4.2","0.0","20533"
"Miguel Andújar","NYY","59","222","209","56","10","1","8","27","25","10","37","1","0","1","",".267",".301",".442",".743",".317","","-0.5","-5.3","","-0.2","-7.7","0.0","15878"
"Willie Calhoun","TEX","92","355","321","79","16","2","12","40","37","28","49","3","1","1","",".247",".312",".420",".732",".315","","-0.5","-4.7","","-0.4","-12.0","0.0","17838"
"Jackie Bradley Jr.","BOS","111","392","352","76","22","2","8","43","37","30","107","7","7","2","",".215",".289",".354",".643",".282","","0.4","3.3","","-13.0","-0.8","0.0","12984"
"Maikel Franco","WSN","105","396","368","89","21","0","12","34","49","24","62","2","0","0","",".241",".288",".392",".680",".290","","-0.5","-3.1","","-11.6","-2.1","-0.1","12179"
"Anthony Alford","CLE","83","299","267","61","14","2","8","35","33","25","104","5","11","6","",".230",".306",".380",".686",".299","","-0.7","-1.3","","-5.9","-4.6","-0.1","14329"
"Hunter Dozier","KCR","119","468","424","101","22","5","17","51","51","38","126","4","3","3","",".238",".304",".438",".742",".318","","-1.7","-4.8","","-2.3","-14.2","-0.1","15117"
"Derek Hill","DET","89","334","308","72","9","3","6","37","26","19","103","3","11","6","",".234",".284",".345",".629",".275","","-0.4","-1.3","","-11.9","0.0","-0.1","16947"
"Raimel Tapia","TOR","115","434","402","102","21","3","6","52","35","27","77","1","14","3","",".255",".302",".366",".667",".290","","1.6","-1.2","","-9.8","-5.6","-0.1","14350"
"Robinson Canó","NYM","61","235","219","56","11","0","6","23","25","12","41","2","0","0","",".254",".298",".393",".692",".297","","-0.9","-2.4","","-3.8","-4.7","-0.1","3269"
"Mike Ford","SFG","84","323","288","63","14","0","12","40","39","29","74","4","1","0","",".220",".298",".390",".689",".298","","-0.1","-0.6","","-5.0","-6.6","-0.1","15585"
"Andrew Knapp","PIT","56","142","121","25","6","1","2","12","13","18","38","2","0","0","",".211",".319",".319",".639",".287","","0.1","-4.5","","-3.8","-1.8","-0.1","14942"
"Kurt Suzuki","LAA","55","196","175","39","7","0","4","16","17","12","36","7","0","0","",".223",".296",".339",".635",".282","","-0.3","-5.3","","-6.0","-1.7","-0.1","8259"
"Jason Krizan","SFG","83","337","305","77","16","1","7","40","33","25","55","1","1","0","",".251",".308",".377",".685",".299","","-0.1","-1.2","","-5.1","-7.4","-0.1","12394"
"Jake McCarthy","ARI","84","326","294","64","13","5","7","36","28","26","94","3","19","5","",".218",".286",".366",".653",".284","","1.9","-2.4","","-8.9","-3.3","-0.1","21622"
"Vinny Capra","TOR","72","273","249","53","11","1","5","29","23","18","73","3","5","2","",".215",".274",".326",".600",".264","","0.1","1.1","","-12.9","2.1","-0.2","25040"
"Símon Muzziotti","PHI","69","271","250","62","10","2","4","28","19","15","52","2","8","6","",".248",".295",".346",".641",".280","","-1.3","-0.5","","-11.2","0.5","-0.2","19553"
"Sam Huff","TEX","78","318","295","66","12","1","12","34","34","17","111","3","2","2","",".223",".271",".385",".655",".281","","-0.9","3.1","","-9.7","-2.8","-0.2","22209"
"Corey Dickerson","STL","89","314","292","74","15","2","6","32","29","18","54","2","3","2","",".255",".299",".386",".685",".294","","-0.4","0.7","","-5.9","-6.3","-0.2","10762"
"Dee Strange-Gordon","WSN","69","261","247","63","8","3","3","25","19","8","37","2","8","4","",".255",".284",".349",".633",".275","","0.2","-3.0","","-10.4","-0.2","-0.2","8203"
"Harold Castro","DET","102","349","330","92","13","2","4","34","33","13","76","1","2","2","",".279",".306",".362",".668",".290","","-1.0","-6.6","","-8.7","-5.3","-0.2","14691"
"Yoshi Tsutsugo","PIT","104","380","326","72","15","1","12","41","42","46","91","2","0","1","",".221",".318",".379",".696",".305","","-0.9","-1.2","","-5.6","-9.3","-0.2","27459"
"Edwin Ríos","LAD","93","325","296","63","14","2","17","41","48","23","122","5","1","2","",".215",".281",".444",".725",".308","","-0.9","-3.7","","-3.5","-9.7","-0.2","18316"
"Cole Tucker","PIT","98","383","343","75","15","4","6","41","30","34","95","2","8","3","",".219",".292",".341",".634",".278","","0.1","-0.9","","-13.1","-2.4","-0.3","17326"
"Heliot Ramos","SFG","95","402","370","86","17","2","10","45","34","26","116","3","9","4","",".232",".286",".367",".652",".284","","-0.1","-6.7","","-11.0","-5.2","-0.3","22515"
"Alcides Escobar","WSN","89","367","339","81","16","1","5","42","29","19","69","6","4","1","",".240",".289",".332",".620",".273","","0.3","-4.0","","-15.1","-0.2","-0.3","6310"
"Alex Dickerson","ATL","86","264","239","57","10","1","10","32","34","19","61","4","1","0","",".240",".307",".424",".731",".313","","-0.4","-2.1","","-3.0","-9.2","-0.4","12649"
"Stuart Fairchild","SEA","77","302","270","56","11","2","6","30","26","24","85","5","6","3","",".205",".281",".330",".612",".271","","-0.3","-0.5","","-10.0","-3.9","-0.4","20321"
"Matt Beaty","SDP","105","268","240","57","11","1","5","34","32","19","45","7","2","1","",".238",".313",".363",".676",".297","","-0.1","-4.2","","-4.3","-8.4","-0.4","17710"
"Lucius Fox","WSN","75","305","269","54","12","3","5","33","24","29","83","3","16","4","",".202",".286",".320",".605",".270","","1.2","-3.0","","-12.5","-1.8","-0.4","18899"
"José Azocar","SDP","111","423","393","93","14","3","7","46","38","22","110","3","14","6","",".236",".280",".340",".619",".271","","0.2","-1.4","","-15.7","-2.8","-0.4","18821"
"Jed Lowrie","OAK","98","360","324","76","17","0","9","38","46","33","75","2","1","0","",".234",".305",".371",".676",".295","","-0.1","-4.3","","-4.6","-12.0","-0.4","4418"
"Guillermo Heredia","ATL","98","257","226","49","15","0","6","32","20","23","64","6","1","1","",".217",".304",".355",".660",".290","","-0.4","-1.8","","-7.9","-5.1","-0.4","18721"
"Zack Collins","TOR","80","294","253","52","13","1","9","33","36","37","103","2","1","0","",".205",".310",".370",".680",".299","","0.0","-5.9","","-5.5","-9.2","-0.5","19181"
"Nick Plummer","NYM","85","332","284","53","11","2","7","37","26","37","117","8","5","4","",".186",".296",".319",".615",".277","","-0.8","-2.9","","-10.3","-6.6","-0.6","18690"
"Ka'ai Tom","SFG","83","305","272","57","10","3","8","32","35","25","92","6","3","2","",".209",".290",".362",".651",".284","","-0.6","-3.8","","-8.9","-7.1","-0.6","18136"
"JT Riddle","CIN","74","265","245","51","10","1","5","32","24","12","52","4","2","2","",".209",".257",".322",".579",".252","","0.0","-1.0","","-16.9","1.9","-0.6","17642"
"Albert Pujols","STL","86","273","254","60","7","0","11","25","45","14","42","4","2","1","",".235",".283",".396",".679",".289","","-0.7","-1.0","","-6.5","-9.4","-0.7","1177"
"Miguel Cabrera","DET","102","409","372","93","10","0","11","37","53","30","95","4","0","0","",".249",".309",".369",".678",".295","","-1.4","-2.0","","-8.7","-12.5","-0.7","1744"
