,Pos,Players,AB,R,H,1B,2B,3B,HR,RBI,BB,KO,SB,CS,BA,OBP,SLG,Roto Rank,Status,Name,Elig,Team,Owner
0,C,Alejandro Kirk C | TOR,188,28,53,36,10,0,7,24,22,31,0,0,.282,.358,.447,381,Start,Alejandro Kirk,C,TOR,Brewbirds
1,1B,"Jared Walsh 1B,OF | LAA",316,41,85,51,16,2,16,55,23,92,1,1,.269,.325,.484,74,Start,Jared Walsh,"1B,OF",LAA,Brewbirds
2,2B,"Whit Merrifield 2B,OF | KC",366,50,92,65,20,1,6,42,24,56,16,2,.251,.296,.361,81,Start,Whit Merrifield,"2B,OF",KC,Brewbirds
3,3B,"Jon Berti 2B,3B,OF,SS | MIA",115,18,32,21,6,2,3,12,13,30,9,1,.278,.354,.444,475,Start,Jon Berti,"2B,3B,OF,SS",MIA,Brewbirds
4,SS,Carlos Correa SS | MIN,327,45,84,53,17,0,14,45,33,91,0,0,.257,.329,.437,131,Start,Carlos Correa,SS,MIN,Brewbirds
5,MI,"Gleyber Torres 2B,SS | NYY",327,46,89,54,19,3,13,47,28,69,5,4,.272,.333,.468,71,Start,Gleyber Torres,"2B,SS",NYY,Brewbirds
6,CI,Jose Abreu 1B | CHW,329,48,91,53,21,1,16,58,37,68,0,0,.277,.361,.492,53,Start,Jose Abreu,1B,CHW,Brewbirds
7,OF,Harrison Bader OF | STL,258,36,69,47,11,3,8,29,16,54,13,3,.267,.319,.426,150,Start,Harrison Bader,OF,STL,Brewbirds
8,OF,Starling Marte OF | NYM,339,63,101,68,19,4,10,48,23,69,19,5,.298,.355,.466,12,Start,Starling Marte,OF,NYM,Brewbirds
9,OF,"Ryan Mountcastle 1B,OF | BAL",330,46,87,51,16,0,20,57,22,93,2,1,.264,.312,.494,45,Start,Ryan Mountcastle,"1B,OF",BAL,Brewbirds
10,OF,Giancarlo Stanton OF | NYY,321,42,87,51,13,0,23,71,37,95,0,0,.271,.345,.526,27,Start,Giancarlo Stanton,OF,NYY,Brewbirds
11,OF,Christian Yelich OF | MIL,328,55,80,52,15,3,10,36,46,96,11,1,.244,.340,.399,94,Start,Christian Yelich,OF,MIL,Brewbirds
12,DH,Dylan Carlson OF | STL,318,42,84,51,20,3,10,35,27,71,2,0,.264,.326,.440,195,Start,Dylan Carlson,OF,STL,Brewbirds
13,DH,Michael Harris OF | ATL,276,42,71,43,15,1,12,40,24,76,6,2,.257,.321,.449,120,Start,Michael Harris,OF,ATL,Brewbirds
14,C,"Tyler Stephenson 1B,C | CIN",220,31,63,43,13,0,7,35,21,58,1,0,.286,.354,.441,284,Bench,Tyler Stephenson,"1B,C",CIN,Brewbirds
15,3B,"Owen Miller 1B,2B,3B | CLE",203,29,51,32,14,0,5,25,14,46,2,0,.251,.300,.394,443,Bench,Owen Miller,"1B,2B,3B",CLE,Brewbirds
16,OF,Riley Greene OF | DET,276,31,65,43,12,2,8,29,28,77,5,1,.235,.311,.380,347,Bench,Riley Greene,OF,DET,Brewbirds
17,OF,Tommy Pham OF | CIN,263,47,67,42,13,1,11,31,40,72,8,1,.255,.355,.437,132,Bench,Tommy Pham,OF,CIN,Brewbirds
18,DH,Kyle Lewis OF | SEA,264,42,71,49,7,0,15,37,29,69,5,1,.269,.349,.466,101,Bench,Kyle Lewis,OF,SEA,Brewbirds
19,DH,Austin Meadows OF | DET,304,34,75,46,16,2,11,40,32,60,2,2,.247,.325,.421,250,Bench,Austin Meadows,OF,DET,Brewbirds
0,C,William Contreras C | ATL,193,26,47,26,9,1,11,29,18,58,1,0,.243,.313,.471,349,Start,William Contreras,C,ATL,Charmer
1,1B,C.J. Cron 1B | COL,285,44,83,45,16,2,20,56,24,80,0,0,.291,.356,.572,38,Start,C.J. Cron,1B,COL,Charmer
2,2B,"Jorge Mateo 2B,3B,OF,SS | BAL",192,21,45,27,10,2,6,21,11,60,11,3,.234,.282,.401,382,Start,Jorge Mateo,"2B,3B,OF,SS",BAL,Charmer
3,3B,Jose Ramirez 3B | CLE,351,66,105,46,26,6,27,86,51,46,18,4,.299,.391,.638,1,Start,Jose Ramirez,3B,CLE,Charmer
4,SS,"Trea Turner 2B,SS | LAD",369,61,118,76,23,4,15,66,28,70,24,4,.320,.370,.526,2,Start,Trea Turner,"2B,SS",LAD,Charmer
5,MI,Nolan Gorman 2B | STL,286,39,75,50,15,1,9,35,23,62,4,1,.262,.326,.416,210,Start,Nolan Gorman,2B,STL,Charmer
6,CI,Rhys Hoskins 1B | PHI,323,49,80,41,19,1,19,51,40,93,1,1,.248,.335,.489,67,Start,Rhys Hoskins,1B,PHI,Charmer
7,OF,Cody Bellinger OF | LAD,315,41,68,38,16,3,11,40,32,92,10,1,.216,.291,.391,176,Start,Cody Bellinger,OF,LAD,Charmer
8,OF,Andrew Benintendi OF | KC,306,33,85,62,15,1,7,38,28,58,2,2,.278,.337,.402,253,Start,Andrew Benintendi,OF,KC,Charmer
9,OF,Bryce Harper OF | PHI,328,69,110,55,30,2,23,62,53,78,10,3,.335,.429,.649,3,Start,Bryce Harper,OF,PHI,Charmer
10,OF,Ramon Laureano OF | OAK,329,40,77,48,19,1,9,31,28,87,10,4,.234,.309,.380,225,Start,Ramon Laureano,OF,OAK,Charmer
11,OF,George Springer OF | TOR,347,64,94,51,16,5,22,57,36,87,6,2,.271,.350,.536,14,Start,George Springer,OF,TOR,Charmer
12,DH,Robbie Grossman OF | DET,245,30,56,36,11,1,8,27,35,73,7,2,.229,.337,.380,341,Start,Robbie Grossman,OF,DET,Charmer
13,DH,Marcell Ozuna OF | ATL,326,44,81,51,14,0,16,45,28,78,2,1,.248,.310,.439,111,Start,Marcell Ozuna,OF,ATL,Charmer
14,OF,Seiya Suzuki OF | CHC,303,40,75,46,18,2,9,40,32,87,6,1,.247,.321,.409,184,Bench,Seiya Suzuki,OF,CHC,Charmer
15,DH,Jo Adell OF | LAA,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999,Bench,Jo Adell,OF,LAA,Charmer
16,DH,"Jonathan Schoop 1B,2B | DET",306,34,77,50,15,1,11,33,16,65,1,0,.252,.295,.415,291,Bench,Jonathan Schoop,"1B,2B",DET,Charmer
17,DH,"Nick Senzel 2B,OF | CIN",298,43,70,49,14,1,6,29,28,66,4,3,.235,.306,.349,325,Bench,Nick Senzel,"2B,OF",CIN,Charmer
0,C,Salvador Perez C | KC,292,38,72,37,14,0,21,52,12,83,0,0,.247,.291,.510,85,Start,Salvador Perez,C,KC,Dirty Birds
1,1B,Joey Votto 1B | CIN,307,46,76,40,18,2,16,57,54,83,0,0,.248,.369,.476,84,Start,Joey Votto,1B,CIN,Dirty Birds
2,2B,"Ezequiel Duran 2B,3B | TEX",285,38,74,47,15,3,9,35,21,63,5,2,.260,.315,.428,208,Start,Ezequiel Duran,"2B,3B",TEX,Dirty Birds
3,3B,Nolan Arenado 3B | STL,340,43,92,52,20,1,19,61,31,51,1,0,.271,.332,.503,47,Start,Nolan Arenado,3B,STL,Dirty Birds
4,SS,J.P. Crawford SS | SEA,321,47,91,64,20,1,6,28,34,55,4,2,.283,.357,.408,190,Start,J.P. Crawford,SS,SEA,Dirty Birds
5,MI,Cesar Hernandez 2B | WAS,315,44,79,56,16,3,4,25,29,68,2,1,.251,.321,.359,361,Start,Cesar Hernandez,2B,WAS,Dirty Birds
6,CI,Rafael Devers 3B | BOS,345,64,105,57,24,1,23,64,30,76,2,1,.304,.366,.580,8,Start,Rafael Devers,3B,BOS,Dirty Birds
7,OF,Nick Castellanos OF | PHI,326,47,93,53,25,1,14,54,25,78,2,1,.285,.341,.497,58,Start,Nick Castellanos,OF,PHI,Dirty Birds
8,OF,"Lourdes Gurriel 1B,OF | TOR",334,39,92,60,21,1,10,50,24,73,3,2,.275,.329,.434,117,Start,Lourdes Gurriel,"1B,OF",TOR,Dirty Birds
9,OF,"Ketel Marte 2B,OF | ARI",347,52,105,60,34,2,9,39,30,63,4,0,.303,.361,.490,70,Start,Ketel Marte,"2B,OF",ARI,Dirty Birds
10,OF,Raimel Tapia OF | TOR,225,33,61,43,13,1,4,24,15,41,7,2,.271,.317,.391,320,Start,Raimel Tapia,OF,TOR,Dirty Birds
11,OF,Alex Verdugo OF | BOS,324,49,88,60,19,1,8,46,26,51,2,1,.272,.327,.410,127,Start,Alex Verdugo,OF,BOS,Dirty Birds
12,DH,"Brendan Rodgers 2B,SS | COL",337,46,87,56,19,2,10,43,21,72,1,0,.258,.308,.415,166,Start,Brendan Rodgers,"2B,SS",COL,Dirty Birds
13,DH,Taylor Ward OF | LAA,182,33,54,34,10,2,8,29,22,45,1,1,.297,.377,.505,279,Start,Taylor Ward,OF,LAA,Dirty Birds
14,1B,Brandon Belt 1B | SF,318,49,84,47,14,3,20,47,45,90,2,1,.264,.362,.516,54,Bench,Brandon Belt,1B,SF,Dirty Birds
15,DH,Yadier Molina C | STL,252,24,61,44,11,0,6,30,10,48,2,0,.242,.274,.357,456,Bench,Yadier Molina,C,STL,Dirty Birds
16,DH,Tyler Naquin OF | CIN,234,35,66,38,16,2,10,41,20,60,5,2,.282,.344,.496,141,Bench,Tyler Naquin,OF,CIN,Dirty Birds
17,DH,"Miguel Rojas 1B,SS | MIA",292,36,76,51,16,2,7,30,22,41,6,2,.260,.320,.401,267,Bench,Miguel Rojas,"1B,SS",MIA,Dirty Birds
18,DH,"Chris Taylor 2B,3B,OF,SS | LAD",258,42,69,37,19,4,9,37,29,84,6,1,.267,.347,.477,148,Bench,Chris Taylor,"2B,3B,OF,SS",LAD,Dirty Birds
0,C,Willson Contreras C | CHC,267,44,68,41,15,0,12,36,29,70,3,1,.255,.347,.446,159,Start,Willson Contreras,C,CHC,Harvey
1,1B,Vladimir Guerrero 1B | TOR,331,59,96,58,14,1,23,60,43,67,1,1,.290,.380,.547,18,Start,Vladimir Guerrero,1B,TOR,Harvey
2,2B,"Ty France 1B,2B,3B | SEA",328,44,101,71,18,0,12,52,25,57,0,0,.308,.383,.473,65,Start,Ty France,"1B,2B,3B",SEA,Harvey
3,3B,Ke'Bryan Hayes 3B | PIT,337,46,91,60,23,2,6,39,35,83,9,3,.270,.344,.404,121,Start,Ke'Bryan Hayes,3B,PIT,Harvey
4,SS,Willy Adames SS | MIL,335,52,80,41,19,1,19,54,35,100,3,2,.239,.312,.472,60,Start,Willy Adames,SS,MIL,Harvey
5,MI,"Christopher Morel 2B,OF | CHC",295,42,74,47,15,2,10,37,28,82,9,3,.251,.319,.417,137,Start,Christopher Morel,"2B,OF",CHC,Harvey
6,CI,"Patrick Wisdom 1B,3B,OF | CHC",283,42,64,35,14,0,15,44,29,100,4,2,.226,.306,.435,142,Start,Patrick Wisdom,"1B,3B,OF",CHC,Harvey
7,OF,"Josh Bell 1B,OF | WAS",287,43,78,50,13,1,14,51,37,55,0,0,.272,.359,.470,98,Start,Josh Bell,"1B,OF",WAS,Harvey
8,OF,Joey Gallo OF | NYY,293,46,59,31,9,0,19,42,57,120,3,0,.201,.334,.427,144,Start,Joey Gallo,OF,NYY,Harvey
9,OF,Julio Rodriguez OF | SEA,337,46,87,55,17,2,13,45,31,102,16,4,.258,.326,.436,44,Start,Julio Rodriguez,OF,SEA,Harvey
10,OF,"Kyle Schwarber 1B,OF | PHI",304,60,71,33,15,0,23,50,52,98,3,0,.234,.350,.510,36,Start,Kyle Schwarber,"1B,OF",PHI,Harvey
11,OF,Mike Yastrzemski OF | SF,332,55,83,43,24,2,14,46,44,87,2,1,.250,.346,.461,89,Start,Mike Yastrzemski,OF,SF,Harvey
12,DH,Matt Chapman 3B | TOR,318,49,73,43,13,2,15,45,37,101,1,0,.230,.312,.424,140,Start,Matt Chapman,3B,TOR,Harvey
13,DH,"Luis Urias 2B,3B,SS | MIL",305,45,73,47,13,1,12,39,38,75,3,2,.239,.333,.407,175,Start,Luis Urias,"2B,3B,SS",MIL,Harvey
14,MI,Tim Anderson SS | CHW,379,61,132,96,22,2,12,47,15,66,17,3,.348,.381,.512,6,Bench,Tim Anderson,SS,CHW,Harvey
15,DH,Brandon Marsh OF | LAA,238,32,62,44,10,1,7,32,19,75,5,1,.261,.321,.399,288,Bench,Brandon Marsh,OF,LAA,Harvey
16,DH,Frank Schwindel 1B | CHC,305,36,80,52,16,0,12,49,23,63,1,0,.262,.315,.433,151,Bench,Frank Schwindel,1B,CHC,Harvey
0,C,Omar Narvaez C | MIL,217,25,56,37,12,1,6,26,23,53,0,0,.258,.337,.406,463,Start,Omar Narvaez,C,MIL,Lil Trump
1,1B,"Garrett Cooper 1B,OF | MIA",240,32,70,46,15,1,8,35,23,65,1,1,.292,.365,.463,249,Start,Garrett Cooper,"1B,OF",MIA,Lil Trump
2,2B,Jonathan India 2B | CIN,327,51,87,57,19,2,9,39,33,80,5,3,.266,.347,.419,118,Start,Jonathan India,2B,CIN,Lil Trump
3,3B,"Kris Bryant 1B,3B,OF | COL",346,58,100,66,21,2,11,42,36,81,5,1,.289,.362,.457,55,Start,Kris Bryant,"1B,3B,OF",COL,Lil Trump
4,SS,"Jake Cronenworth 1B,2B,SS | SD",337,53,90,54,22,4,10,46,33,67,1,1,.267,.345,.445,108,Start,Jake Cronenworth,"1B,2B,SS",SD,Lil Trump
5,MI,"Gavin Lux 2B,OF,SS | LAD",236,40,64,45,11,3,5,28,25,50,5,1,.271,.342,.407,275,Start,Gavin Lux,"2B,OF,SS",LAD,Lil Trump
6,CI,Rowdy Tellez 1B | MIL,184,23,46,26,12,0,8,30,19,44,0,0,.250,.329,.446,424,Start,Rowdy Tellez,1B,MIL,Lil Trump
7,OF,"Brendan Donovan 1B,2B,3B,OF,SS | STL",270,38,75,48,19,1,7,39,30,59,3,1,.278,.358,.433,198,Start,Brendan Donovan,"1B,2B,3B,OF,SS",STL,Lil Trump
8,OF,Cedric Mullins OF | BAL,340,52,95,58,21,3,13,36,26,70,18,4,.279,.341,.473,30,Start,Cedric Mullins,OF,BAL,Lil Trump
9,OF,A.J. Pollock OF | CHW,288,37,80,51,18,2,9,40,18,62,4,1,.278,.323,.448,161,Start,A.J. Pollock,OF,CHW,Lil Trump
10,OF,"Jurickson Profar 1B,2B,OF | SD",227,37,59,36,14,2,7,30,27,43,5,1,.260,.341,.432,270,Start,Jurickson Profar,"1B,2B,OF",SD,Lil Trump
11,OF,Alek Thomas OF | ARI,278,40,69,44,15,1,9,33,25,67,5,1,.248,.316,.406,236,Start,Alek Thomas,OF,ARI,Lil Trump
12,DH,"Keston Hiura 1B,2B | MIL",175,26,41,23,8,0,10,30,21,59,2,1,.234,.328,.451,355,Start,Keston Hiura,"1B,2B",MIL,Lil Trump
13,DH,Gabriel Moreno C | TOR,114,15,28,19,5,0,4,17,10,29,0,0,.246,.315,.395,648,Start,Gabriel Moreno,C,TOR,Lil Trump
14,OF,"Orlando Arcia 2B,OF,SS | ATL",200,29,61,36,13,1,11,38,15,48,2,0,.305,.352,.545,173,Bench,Orlando Arcia,"2B,OF,SS",ATL,Lil Trump
15,OF,Eloy Jimenez OF | CHW,329,34,90,59,18,1,12,57,20,83,1,0,.274,.317,.444,114,Bench,Eloy Jimenez,OF,CHW,Lil Trump
16,DH,Ozzie Albies 2B | ATL,116,18,30,18,7,1,4,17,8,22,3,2,.259,.309,.440,538,Bench,Ozzie Albies,2B,ATL,Lil Trump
17,DH,"Rougned Odor 2B,3B | BAL",231,31,50,25,12,3,10,33,13,62,0,0,.216,.272,.424,393,Bench,Rougned Odor,"2B,3B",BAL,Lil Trump
0,C,Adley Rutschman C | BAL,270,31,60,37,13,1,9,30,22,75,1,0,.222,.291,.378,417,Start,Adley Rutschman,C,BAL,Lima Time
1,1B,"Juan Yepez 1B,OF | STL",183,25,47,30,9,0,8,26,17,43,1,0,.257,.324,.437,404,Start,Juan Yepez,"1B,OF",STL,Lima Time
2,2B,"Ian Happ 2B,OF | CHC",263,38,68,42,15,1,10,37,36,68,6,2,.259,.352,.437,169,Start,Ian Happ,"2B,OF",CHC,Lima Time
3,3B,Alex Bregman 3B | HOU,322,48,77,49,18,0,10,46,45,53,0,0,.239,.338,.388,192,Start,Alex Bregman,3B,HOU,Lima Time
4,SS,"Bobby Witt 3B,SS | KC",357,51,91,54,21,3,13,50,20,88,13,3,.255,.300,.440,42,Start,Bobby Witt,"3B,SS",KC,Lima Time
5,MI,Brandon Crawford SS | SF,325,45,85,51,18,4,12,51,30,73,4,2,.262,.334,.452,91,Start,Brandon Crawford,SS,SF,Lima Time
6,CI,"Brandon Drury 2B,3B,OF | CIN",191,33,50,29,11,1,9,28,19,49,2,1,.262,.336,.471,309,Start,Brandon Drury,"2B,3B,OF",CIN,Lima Time
7,OF,Randy Arozarena OF | TB,326,49,87,54,19,2,12,43,25,92,15,6,.267,.336,.448,43,Start,Randy Arozarena,OF,TB,Lima Time
8,OF,Charlie Blackmon OF | COL,344,49,92,60,18,2,12,52,30,65,3,1,.267,.333,.436,78,Start,Charlie Blackmon,OF,COL,Lima Time
9,OF,Byron Buxton OF | MIN,320,62,80,35,18,0,27,53,32,89,6,1,.250,.332,.559,17,Start,Byron Buxton,OF,MIN,Lima Time
10,OF,Trevor Larnach OF | MIN,179,23,39,23,10,0,6,21,19,64,1,0,.218,.297,.374,556,Start,Trevor Larnach,OF,MIN,Lima Time
11,OF,Kyle Tucker OF | HOU,319,45,88,51,18,2,17,58,36,59,14,2,.276,.346,.505,21,Start,Kyle Tucker,OF,HOU,Lima Time
12,DH,"MJ Melendez C,OF | KC",190,21,44,28,8,1,7,23,19,50,1,0,.232,.305,.395,520,Start,MJ Melendez,"C,OF",KC,Lima Time
13,DH,Franmil Reyes OF | CLE,360,39,87,57,12,1,17,58,29,128,2,1,.242,.299,.422,96,Start,Franmil Reyes,OF,CLE,Lima Time
14,1B,Yuli Gurriel 1B | HOU,327,41,86,56,22,0,8,38,26,46,3,0,.263,.320,.404,209,Bench,Yuli Gurriel,1B,HOU,Lima Time
15,SS,"Fernando Tatis OF,SS | SD",217,46,64,32,15,1,16,44,26,64,11,2,.295,.372,.595,34,Bench,Fernando Tatis,"OF,SS",SD,Lima Time
16,OF,Tyler O'Neill OF | STL,312,51,84,52,15,2,15,55,26,98,10,4,.269,.330,.474,31,Bench,Tyler O'Neill,OF,STL,Lima Time
17,DH,Jesus Sanchez OF | MIA,295,40,71,40,14,3,14,40,23,86,2,1,.241,.302,.451,178,Bench,Jesus Sanchez,OF,MIA,Lima Time
18,DH,Spencer Torkelson 1B | DET,324,37,76,46,15,1,14,42,38,91,1,0,.235,.321,.417,226,Bench,Spencer Torkelson,1B,DET,Lima Time
0,C,Will Smith C | LAD,262,43,69,41,15,0,13,49,37,52,1,0,.263,.362,.469,113,Start,Will Smith,C,LAD,Midnight
1,1B,Freddie Freeman 1B | LAD,348,66,107,67,25,2,13,56,49,60,6,1,.307,.399,.503,20,Start,Freddie Freeman,1B,LAD,Midnight
